"Phase [deg]","Freq [GHz]","elec_energy*0.5*8.8541878128e-12*2/(sqrt(re(Zo(waveport1:1))*(sqrt((1+re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))/(sqrt((1-re(S(waveport1:1,waveport1:1)))**2+im(S(waveport1:1,waveport1:1))**2))*(1-mag(S(waveport1:1,waveport1:1))**2)/cos(atan(im(S(waveport1:1,waveport1:1))/(1+re(S(waveport1:1,waveport1:1))))-atan((-im(S(waveport1:1,waveport1:1))/(1-re(S(waveport1:1,waveport1:1)))))))*sqrt(2))**2 []"
0,0.104413793103448,6.74682431622042E-12
0,0.207827586206897,6.74652195578622E-12
0,0.311241379310345,6.74617023416256E-12
0,0.414655172413793,6.74595081569671E-12
0,0.518068965517241,6.74604124333228E-12
0,0.62148275862069,6.74656051476756E-12
0,0.724896551724138,6.74752471151245E-12
0,0.828310344827586,6.74882367794737E-12
0,0.931724137931034,6.75022571170858E-12
0,1.03513793103448,6.75141147792959E-12
0,1.13855172413793,6.75203234614147E-12
0,1.24196551724138,6.75178255876267E-12
0,1.34537931034483,6.75047085542375E-12
0,1.44879310344828,6.74807596437055E-12
0,1.55220689655172,6.74477265887049E-12
0,1.65562068965517,6.74092052850106E-12
0,1.75903448275862,6.73701510151533E-12
0,1.86244827586207,6.73360878842375E-12
0,1.96586206896552,6.73121545873328E-12
0,2.06927586206897,6.73021583645977E-12
0,2.17268965517241,6.73078116420806E-12
0,2.27610344827586,6.73282962056157E-12
0,2.37951724137931,6.73602499198758E-12
0,2.48293103448276,6.73982023776094E-12
0,2.58634482758621,6.74354128218434E-12
0,2.68975862068966,6.74649876817058E-12
0,2.7931724137931,6.74810933584827E-12
0,2.89658620689655,6.74800451067753E-12
0,3,6.74610574877005E-12

