"Phase [deg]","Freq [GHz]","output_ez []"
0,0.001,0.00216727772075121
0,0.0055,0.0119198764740974
0,0.01,0.0216725026015017
0,0.055,0.119198500785179
0,0.1,0.216723834780885
0,0.825,1.78902618427695
0,1.1875,2.58108712645967
0,1.55,3.3861891941489
0,1.9125,4.21294069691942
0,2.275,5.06729547480856
0,3,6.85647478431558

