"Freq [GHz]","ang_rad(S(waveport1:1,1)) [rad]","ang_rad(S(waveport2:1,1)) [rad]"
0.001,-1.57145069468213,-1.57130756111403
0.0509975,-1.60416562947662,-1.59686835164707
0.100995,-1.63687621396309,-1.62242511027719
0.1509925,-1.66957814973116,-1.64797393188993
0.20099,-1.70226717733513,-1.67351090964945
0.2509875,-1.73493906152179,-1.6990321593632
0.300985,-1.76758960044646,-1.72453382933481
0.3509825,-1.80021463342896,-1.75001210786747
0.40098,-1.83281004839048,-1.77546323045894
0.4509775,-1.86537179133382,-1.80088348904195
0.500975,-1.89789586912617,-1.82626923452969
0.5509725,-1.93037836147051,-1.85161688855305
0.60097,-1.96281542468697,-1.87692294701137
0.6509675,-1.99520329867837,-1.90218398681027
0.700965,-2.02753831280796,-1.92739667151483
0.7509625,-2.05981689139916,-1.95255775662789
0.80096,-2.09203555882452,-1.97766409446077
0.8509575,-2.12419094416909,-2.002712638582
0.900955,-2.1562797854578,-2.02770044783352
0.9509525,-2.18829893343959,-2.0526246899078
1.00095,-2.22024535492469,-2.07748264448215
1.0509475,-2.2521161356739,-2.10227170590953
1.100945,-2.28390848284216,-2.12698938546842
1.1509425,-2.31561972698123,-2.15163331317664
1.20094,-2.34724732360874,-2.17620123917682
1.2509375,-2.37878885435359,-2.20069103470369
1.300935,-2.41024202768967,-2.22510069264522
1.3509325,-2.44160467927185,-2.24942832771198
1.40093,-2.47287477189005,-2.27367217623056
1.4509275,-2.50405039505861,-2.29783059557843
1.500925,-2.53512976425949,-2.32190206327913
1.5509225,-2.56611121985911,-2.34588517577732
1.60092,-2.59699322571907,-2.36977864691455
1.6509175,-2.62777436752207,-2.39358130612664
1.700915,-2.65845335083439,-2.41729209638459
1.7509125,-2.68902899892694,-2.44091007190063
1.80091,-2.71950025037642,-2.46443439562133
1.8509075,-2.74986615646855,-2.48786433652954
1.900905,-2.78012587842455,-2.51119926677651
1.9509025,-2.81027868447218,-2.53443865866523
2.0009,-2.84032394678154,-2.55758208150545
2.0508975,-2.87026113828559,-2.58062919836014
2.100895,-2.90008982940459,-2.60357976270249
2.1508925,-2.92980968469254,-2.62643361500159
2.20089,-2.9594204594232,-2.64919067925422
2.2508875,-2.98892199613203,-2.67185095947907
2.300885,-3.01831422112975,-2.6944145361888
2.3508825,-3.0475971410018,-2.71688156285447
2.40088,-3.07677083910744,-2.73925226237565
2.4508775,-3.10583547209082,-2.76152692356856
2.500875,-3.13479126641562,-2.78370589768382
2.5508725,3.11954679224583,-2.80578959496397
2.60087,3.09080773368204,-2.82777848125033
2.6508675,3.06217644955546,-2.84967307464756
2.700865,3.03365246796003,-2.87147394225352
2.7508625,3.00523526381,-2.89318169696103
2.80086,2.97692426197683,-2.91479699433744
2.8508575,2.94871884034834,-2.93632052958684
2.900855,2.92061833280603,-2.95775303459933
2.9508525,2.89262203211679,-2.97909527509073
3.00085,2.86472919273602,-3.00034804783573
3.0508475,2.83693903351994,-3.02151217799658
3.100845,2.80925074034523,-3.042588516549
3.1508425,2.78166346863487,-3.06357793780653
3.20084,2.75417634578938,-3.08448133704375
3.2508375,2.72678847352327,-3.10529962821876
3.300835,2.6994989301068,-3.12603374179452
3.3508325,2.67230677251351,3.13650068452107
3.40083,2.64521103847458,3.11593207903969
3.4508275,2.61821074844077,3.0954447810569
3.500825,2.59130490745382,3.07503781392578
3.5508225,2.5644925069285,3.05471019393557
3.60082,2.53777252634745,3.03446093191961
3.6508175,2.51114393487066,3.01428903477425
3.700815,2.48460569286177,2.99419350689094
3.7508125,2.45815675333349,2.97417335150384
3.80081,2.43179606331442,2.95422757195546
3.8508075,2.40552256513985,2.93435517288262
3.900805,2.37933519766888,2.91455516132553
3.9508025,2.35323289743049,2.89482654776245
4.0008,2.32721459970123,2.87516834707258
4.0507975,2.30127923951683,2.85557957942991
4.100795,2.27542575262064,2.8360592711305
4.1507925,2.24965307635119,2.81660645535599
4.20079,2.22396015047169,2.7972201728758
4.2507875,2.1983459179437,2.77789947269074
4.300785,2.17280932564771,2.75864341262047
4.3507825,2.14734932505292,2.7394510598373
4.40078,2.12196487283864,2.72032149134885
4.4507775,2.09665493146975,2.70125379443192
4.500775,2.07141846972831,2.68224706701991
4.5507725,2.04625446320374,2.6633004180461
4.60077,2.02116189474357,2.64441296774492
4.6507675,1.99613975486701,2.62558384791347
4.700765,1.9711870421432,2.60681220213534
4.7507625,1.94630276353627,2.58809718596866
4.80076,1.92148593471892,2.56943796710051
4.8507575,1.89673558035659,2.55083372546936
4.900755,1.87205073436369,2.53228365335759
4.9507525,1.84743044013383,2.51378695545561
5.00075,1.82287375074558,2.49534284889945
5.0507475,1.79837972914524,2.47695056328334
5.100745,1.77394744830829,2.45860934064888
5.1507425,1.74957599138082,2.44031843545226
5.20074,1.72526445180229,2.42207711451101
5.2507375,1.70101193341113,2.40388465693161
5.300735,1.67681755053413,2.38574035401931
5.3507325,1.65268042806101,2.3676435091714
5.40073,1.62859970150534,2.34959343775517
5.4507275,1.60457451705263,2.33158946697162
5.500725,1.58060403159687,2.31363093570621
5.5507225,1.55668741276629,2.29571719436742
5.60072,1.53282383893936,2.27784760471445
5.6507175,1.50901249925178,2.26002153967474
5.700715,1.48525259359522,2.2422383831524
5.7507125,1.46154333260866,2.22449752982839
5.80071,1.43788393766276,2.20679838495314
5.8507075,1.41427364083811,2.18914036413268
5.900705,1.39071168489767,2.17152289310875
5.9507025,1.36719732325393,2.15394540753378
6.0007,1.34372981993118,2.13640735274139
6.0506975,1.32030844952324,2.11890818351305
6.100695,1.29693249714677,2.10144736384144
6.1506925,1.27360125839037,2.0840243666913
6.20069,1.25031403925956,2.06663867375812
6.2506875,1.22707015611761,2.04928977522529
6.300685,1.20386893562201,2.03197716952027
6.3506825,1.18070971465657,2.01470036307012
6.40068,1.15759184025866,1.99745887005699
6.4506775,1.13451466954135,1.98025221217392
6.500675,1.11147756960996,1.96307991838137
6.5506725,1.0884799174724,1.94594152466484
6.60067,1.06552109994279,1.92883657379409
6.6506675,1.04260051353768,1.91176461508406
6.700665,1.01971756436406,1.89472520415808
6.7506625,0.996871667998543,1.87771790271349
6.80066,0.974062249356892,1.86074227829011
6.8506575,0.951288742553267,1.84379790404165
6.900655,0.92855059074844,1.82688435851058
6.9506525,0.905847245986485,1.8100012254065
7.00065,0.883178169019487,1.79314809338832
7.0506475,0.860542829119975,1.77632455585049
7.100645,0.837940703881056,1.75953021071344
7.1506425,0.815371279004388,1.74276466021855
7.20064,0.792834048076457,1.72602751072763
7.2506375,0.770328512333927,1.70931837252728
7.300635,0.747854180419121,1.69263685963821
7.3506325,0.725410568127051,1.67598258962969
7.40063,0.702997198145776,1.65935518343924
7.4506275,0.680613599792119,1.64275426519783
7.500625,0.658259308745121,1.62617946206053
7.5506225,0.635933866779836,1.60963040404287
7.60062,0.613636821504241,1.59310672386305
7.6506175,0.591367726102137,1.57660805678997
7.700615,0.569126139084979,1.56013404049731
7.7506125,0.546911624055418,1.54368431492374
7.80061,0.524723749485233,1.52725852213928
7.8506075,0.502562088510003,1.51085630621804
7.900605,0.480426218742498,1.49447731311724
7.9506025,0.458315722106339,1.47812119056279
8.0006,0.43623018469088,1.46178758794135
8.0505975,0.414169196627757,1.44547615619905
8.100595,0.392132351988861,1.42918654774688
8.1505925,0.370119248704941,1.41291841637285
8.20059,0.348129488503393,1.39667141716098
8.2505875,0.326162676863282,1.38044520641724
8.300585,0.304218422985127,1.36423944160238
8.3505825,0.282296339772594,1.34805378127187
8.40058,0.260396043822927,1.33188788502289
8.4505775,0.23851715542277,1.3157414134485
8.500575,0.216659298545891,1.29961402809912
8.5505725,0.194822100849386,1.28350539145114
8.60057,0.173005193665016,1.2674151668831
8.6505675,0.151208211982513,1.25134301865913
8.700565,0.129430794421989,1.23528861192001
8.7505625,0.107672583192873,1.21925161268175
8.80056,0.085933224037158,1.20323168784185
8.8505575,0.0642123661551138,1.18722850519322
8.900555,0.0425096621120198,1.17124173344599
8.9505525,0.0208247677248048,1.15527104225711
9.00055,-0.0008426580721475,1.13931610226794
9.0505475,-0.0224929533824617,1.12337658514991
9.100545,-0.0441264535246739,1.10745216365825
9.1505425,-0.0657434912304925,1.09154251169397
9.20054,-0.0873443968641681,1.07564730437412
9.2505375,-0.108929498662575,1.05976621811044
9.300535,-0.130499122995506,1.04389893069657
9.3505325,-0.152053594645622,1.02804512140373
9.40053,-0.173593237107487,1.01220447108517
9.4505275,-0.195118372905122,0.996376662289399
9.500525,-0.216629323927533,0.980561379382251
9.5505225,-0.238126411781766,0.964758308678
9.60052,-0.259609958163071,0.948967138579528
9.6505175,-0.281080285241868,0.933187559727709
9.700515,-0.302537716067322,0.917419265160075
9.7505125,-0.323982574987398,0.901661950478887
9.80051,-0.345415188085402,0.885915314028707
9.8505075,-0.366835883633113,0.870179057083541
9.900505,-0.388244992560707,0.854452884043675
9.9505025,-0.409642848943799,0.838736502642275
10.0005,-0.431029790507991,0.823029624161815
10.0504975,-0.452406159151463,0.807331963660421
10.100495,-0.473772301486165,0.791643240208182
10.1504925,-0.495128569398345,0.775963177133463
10.20049,-0.51647532062915,0.76029150227927
10.2504875,-0.537812919376188,0.744627948269655
10.300485,-0.559141736916968,0.728972252786185
10.3504825,-0.580462152255281,0.713324158854423
10.40048,-0.601774552791611,0.697683415140367
10.4504775,-0.623079335018813,0.682049776256775
10.500475,-0.644376905244336,0.66642300307925
10.5504725,-0.665667680340441,0.65080286307191
10.60047,-0.686952088523911,0.635189130622468
10.6504675,-0.708230570166941,0.619581587386429
10.700465,-0.729503578641001,0.603980022640117
10.7504625,-0.750771581195651,0.588384233642107
10.80046,-0.772035059874453,0.57279402600262
10.8504575,-0.793294512470379,0.557209214060268
10.900455,-0.814550453523284,0.541629621265479
10.9504525,-0.835803415362358,0.526055080569725
11.00045,-0.857053949196714,0.510485434819515
11.0504475,-0.878302626257624,0.494920537153877
11.100445,-0.89955003899627,0.479360251403691
11.1504425,-0.920796802341246,0.46380445249087
11.20044,-0.942043555020409,0.448253026824765
11.2504375,-0.963290960952019,0.43270587269238
11.300435,-0.984539710710367,0.41716290063787
11.3504325,-1.0057905230711,0.401624033825161
11.40043,-1.02704414664122,0.386089208375181
11.4504275,-1.04830136157784,0.370558373665645
11.500425,-1.06956298139779,0.355031492576051
11.5504225,-1.09082985487666,0.339508541652248
11.60042,-1.1121028680291,0.323989511152043
11.6504175,-1.13338294615023,0.308474404912372
11.700415,-1.1546710558775,0.292963239944156
11.7504125,-1.17596820719456,0.277456045602504
11.80041,-1.19727545523175,0.261952862077741
11.8504075,-1.2185939015923,0.246453737767317
11.900405,-1.23992469469257,0.230958724738239
11.9504025,-1.26126902812055,0.215467870793967
12.0004,-1.28262813498897,0.199981205196582
12.0503975,-1.30400327392135,0.18449871179542
12.100395,-1.32539569651591,0.169020275212034
12.1503925,-1.346806570163,0.15354556353652
12.20039,-1.36823677906043,0.13807374126557
12.2503875,-1.38968632841071,0.122602639716987
12.300385,-1.41115203939874,0.107125657954014
12.3503825,-1.43261292609909,0.0916133279492853
12.40038,-1.45457113371198,0.0757984093286962
12.4503775,-1.47595684288963,0.0610924628787753
12.500375,-1.49749205401877,0.0455593260252178
12.5503725,-1.51911080741273,0.0301105573759202
12.60037,-1.54077955179187,0.0146876372856773
12.6503675,-1.56249466196587,-0.000719409749666633
12.700365,-1.58425731150661,-0.0161132640434857
