"Freq [GHz]","dB(S(waveport1:1,waveport3:1)) []","dB(S(waveport1:1,waveport2:1)) []","dB(S(waveport1:1,waveport4:1)) []","ang_rad(S(waveport1:1,waveport3:1)) [rad]","ang_rad(S(waveport1:1,waveport2:1)) [rad]","ang_rad(S(waveport1:1,waveport4:1)) [rad]"
0.135955,-64.7599879249254,-3.73961516933144E-06,-72.6152152487097,1.28530030589376,-0.285241662930119,1.28388221742694
0.1434525,-64.2937985159594,-4.16604613886377E-06,-72.1488878920948,1.26955615248307,-0.30097186490241,1.2680603819176
0.15095,-63.8513716246215,-4.61478589758839E-06,-71.7063155244503,1.25381201985105,-0.316702067166431,1.25223870129142
0.1584475,-63.4304028728737,-5.08574604804799E-06,-71.285193748233,1.23806790863011,-0.332432269738973,1.23641718062664
0.165945,-63.0289076861895,-5.57883419579713E-06,-70.883537968457,1.22232381949927,-0.348162472637056,1.22059582531137
0.1734425,-62.6451647239185,-6.0939540197948E-06,-70.4996268230651,1.20657975317225,-0.363892675877941,1.20477464096415
0.18094,-62.2776712898799,-6.63100534761843E-06,-70.1319575935275,1.19083571038841,-0.379622879479142,1.18895363337377
0.1884375,-61.9251078019156,-7.18988423164216E-06,-69.7792106744022,1.17509169190578,-0.395353083458434,1.1731328084529
0.195935,-61.5863091978245,-7.77048304739452E-06,-69.440220979275,1.15934769849563,-0.411083287833863,1.1573121722019
0.2034325,-61.2602417135836,-8.37269054755697E-06,-69.1139547189882,1.14360373093813,-0.426813492623759,1.14149173068015
0.21093,-60.9459838663711,-8.99639198346529E-06,-68.7994903846708,1.12785979001894,-0.44254369784674,1.12567148998313
0.2184275,-60.6427107605897,-9.6414691687512E-06,-68.4960030537688,1.11211587652636,-0.458273903521725,1.10985145622367
0.225925,-60.3496810435671,-1.03078005834857E-05,-68.202751345754,1.09637199124906,-0.474004109667942,1.09403163551668
0.2334225,-60.0662259915959,-1.09952614696434E-05,-67.9190665081713,1.08062813497415,-0.48973431630494,1.07821203396633
0.24092,-59.7917403219832,-1.17037239236737E-05,-67.6443432286967,1.06488430848556,-0.505464523452591,1.06239265765533
0.2484175,-59.5256744135724,-1.24330569987156E-05,-67.3780318556678,1.04914051256269,-0.521194731131105,1.04657351263576
0.255915,-59.2675276843307,-1.31831268039188E-05,-67.1196317756793,1.03339674797919,-0.536924939361037,1.0307546049212
0.2634125,-59.0168429254413,-1.39537966191945E-05,-66.8686857476847,1.01765301550197,-0.552655148163291,1.01493594047992
0.27091,-58.7732014307618,-1.47449269848938E-05,-66.6247750324635,1.00190931589029,-0.568385357559133,0.999117525228809
0.2784075,-58.5362187913176,-1.55563758175225E-05,-66.3875151871244,0.986165649894956,-0.584115567570197,0.983299365028124
0.285905,-58.3055412487542,-1.63879985206342E-05,-66.1565524185666,0.970422018257601,-0.599845778218491,0.967481465676669
0.2934025,-58.0808425209019,-1.72396480976529E-05,-65.9315604090549,0.954678421710069,-0.615575989526406,0.951663832907524
0.3009,-57.8618210279521,-1.81111752618014E-05,-65.7122375424054,0.938934860973809,-0.631306201516721,0.935846472384139
0.3083975,-57.6481974600676,-1.90024285469949E-05,-65.498304471607,0.923191336759356,-0.647036414212612,0.920029389696763
0.315895,-57.4397126372029,-1.99132544331994E-05,-65.2895019786512,0.907447849765828,-0.662766627637658,0.904212590359148
0.3233925,-57.2361256199967,-2.08434974553963E-05,-65.0855890854359,0.891704400680481,-0.678496841815846,0.888396079805497
0.33089,-57.0372120371997,-2.17930003250834E-05,-64.8863413812039,0.875960990178283,-0.694227056771578,0.872579863387622
0.3383875,-56.8427626005207,-2.2761604050812E-05,-64.6915495374003,0.860217618921516,-0.709957272529676,0.856763946372285
0.345885,-56.6525817822412,-2.37491480616164E-05,-64.501017985298,0.844474287559411,-0.725687489115387,0.840948333938687
0.3533825,-56.4664866346496,-2.47554703217647E-05,-64.3145637354439,0.828730996727787,-0.741417706554392,0.825133031176103
0.36088,-56.2843057334269,-2.57804074522605E-05,-64.1320153210558,0.81298774704873,-0.757147924872805,0.809318043081653
0.3683775,-56.1058782296875,-2.68237948668088E-05,-63.9532118500756,0.797244539130269,-0.772878144097182,0.79350337455816
0.375875,-55.9310529975367,-2.7885466879817E-05,-63.7780021527384,0.781501373566086,-0.788608364254526,0.777689030412137
0.3833725,-55.7596878658235,-2.89652568394683E-05,-63.6062440133379,0.765758250935225,-0.804338585372285,0.76187501535185
0.39087,-55.5916489243034,-3.00629972395801E-05,-63.4378034764011,0.750015171801815,-0.820068807478366,0.746061333985466
0.3983675,-55.426809895725,-3.11785198738928E-05,-63.2725542187885,0.734272136714826,-0.835799030601127,0.730247990819297
0.405865,-55.2650515664667,-3.23116559199626E-05,-63.1103769803422,0.718529146207799,-0.851529254769392,0.714434990256092
0.4133625,-55.1062612692886,-3.34622360963441E-05,-62.9511590466521,0.702786200798622,-0.867259480012444,0.69862233659342
0.42086,-54.9503324125816,-3.46300907667338E-05,-62.794793778317,0.687043300989296,-0.882989706360034,0.68281003402211
0.4283575,-54.7971640511831,-3.58150500788305E-05,-62.6411801817739,0.671300447265714,-0.898719933842383,0.666998086624747
0.435855,-54.6466604944338,-3.70169440781231E-05,-62.4902225173687,0.655557640097459,-0.914450162490181,0.651186498374241
0.4433525,-54.498730947663,-3.82356028313212E-05,-62.3418299408541,0.639814879937585,-0.930180392334592,0.635375273132445
0.45085,-54.3532891837375,-3.94708565623229E-05,-62.1959161749528,0.624072167222441,-0.945910623407257,0.619564414648819
0.4583475,-54.2102532417009,-4.0722535751538E-05,-62.0523992080107,0.608329502371478,-0.961640855740289,0.603753926559172
0.465845,-54.0695451498634,-4.19904712814986E-05,-61.9112010171001,0.592586885787069,-0.977371089366284,0.587943812384428
0.4733425,-53.9310906710007,-4.32744945438976E-05,-61.7722473132328,0.576844317854343,-0.993101324318313,0.572134075529463
0.48084,-53.7948190675766,-4.45744375553057E-05,-61.6354673065974,0.561101798941019,-1.00883156062993,0.556324719281979
0.4883375,-53.6606628851303,-4.58901330883176E-05,-61.5007934899606,0.545359329397251,-1.02456179833516,0.540515746811434
0.495835,-53.5285577521681,-4.7221414778591E-05,-61.3681614385727,0.529616909555481,-1.04029203746852,0.524707161168013
0.5033325,-53.3984421950717,-4.85681172473144E-05,-61.2375096250916,0.513874539730298,-1.056022278065,0.508898965281654
0.51083,-53.2702574666927,-4.99300762140314E-05,-61.1087792481912,0.4981322202183,-1.07175252016007,0.493091161961113
0.5183275,-53.1439473874354,-5.1307128605609E-05,-60.9819140736586,0.482389951297969,-1.08748276378969,0.477283753893075
0.525825,-53.0194581977516,-5.26991126748481E-05,-60.8568602869046,0.466647733229549,-1.10321300899028,0.461476743641318
0.5333225,-52.8967384210785,-5.41058681017372E-05,-60.7335663559162,0.450905566254931,-1.11894325579874,0.445670133645915
0.54082,-52.7757387363453,-5.55272361130279E-05,-60.6119829037777,0.435163450597546,-1.13467350425247,0.429863926222476
0.5483175,-52.6564118592566,-5.69630595805956E-05,-60.4920625899696,0.419421386462263,-1.15040375438932,0.41405812356145
0.555815,-52.5387124316381,-5.8413183124622E-05,-60.3737599997296,0.403679374035295,-1.16613400624761,0.398252727727452
0.5633125,-52.4225969181968,-5.98774532167775E-05,-60.2570315408277,0.387937413484108,-1.18186425986616,0.382447740658645
0.57081,-52.3080235101068,-6.13557182969052E-05,-60.1418353471676,0.372195504957343,-1.19759451528423,0.366643164166165
0.5783075,-52.1949520348865,-6.28478288395586E-05,-60.0281311886788,0.356453648584734,-1.21332477254155,0.350838999933582
0.585805,-52.0833438720808,-6.43536374764717E-05,-59.9158803870146,0.340711844477043,-1.22905503167832,0.335035249516412
0.5933025,-51.9731618743052,-6.58729990823842E-05,-59.8050457366114,0.324970092725997,-1.24478529273522,0.319231914341667
0.6008,-51.8643702932483,-6.74057708570099E-05,-59.6955914307072,0.309228393404225,-1.26051555575334,0.303428995707443
0.6082975,-51.7569347102635,-6.89518124291843E-05,-59.5874829919479,0.293486746565213,-1.27624582077427,0.287626494782563
0.615795,-51.6508219712114,-7.05109859291902E-05,-59.4806872072462,0.277745152243254,-1.29197608784003,0.27182441260625
0.6232925,-51.5460001252465,-7.20831560880841E-05,-59.3751720665836,0.262003610453412,-1.30770635699309,0.256022750087844
0.63079,-51.4424383672632,-7.36681902945921E-05,-59.2709067054718,0.246262121191487,-1.32343662827637,0.240221508006566
0.6382875,-51.3401069837428,-7.52659587060096E-05,-59.1678613508157,0.230520684433989,-1.33916690173321,0.224420687011319
0.645785,-51.2389773017623,-7.68763342915961E-05,-59.0660072699374,0.214779300138113,-1.35489717740741,0.208620287620527
0.6532825,-51.1390216409468,-7.8499192918403E-05,-58.9653167225453,0.199037968241727,-1.37062745534318,0.192820310222024
