"Freq [GHz]","Antenna to Waveport 2 [rad]","Antenna to Waveport 1 [rad]"
0.514,-2.12718504120561,-2.33319305766098
0.51625,-2.12963778164675,-2.3365468201738
0.5185,-2.13209033170613,-2.33990040200427
0.52075,-2.13454269184438,-2.34325380343658
0.523,-2.13699486250961,-2.34660702473946
0.52525,-2.13944684413766,-2.34996006616649
0.5275,-2.14189863715245,-2.35331292795636
0.52975,-2.14435024196624,-2.3566656103331
0.532,-2.14680165897991,-2.36001811350636
0.53425,-2.14925288858325,-2.36337043767167
0.5365,-2.15170393115525,-2.36672258301066
0.53875,-2.15415478706435,-2.37007454969131
0.541,-2.15660545666875,-2.37342633786824
0.54325,-2.15905594031662,-2.37677794768286
0.5455,-2.16150623834642,-2.38012937926369
0.54775,-2.16395635108714,-2.38348063272651
0.55,-2.16640627885854,-2.38683170817467
0.55225,-2.16885602197146,-2.39018260569926
0.5545,-2.171305580728,-2.39353332537934
0.55675,-2.17375495542182,-2.39688386728217
0.559,-2.17620414633837,-2.4002342314634
0.56125,-2.17865315375513,-2.40358441796734
0.5635,-2.18110197794187,-2.4069344268271
0.56575,-2.18355061916085,-2.41028425806484
0.568,-2.18599907766711,-2.41363391169195
0.57025,-2.18844735370865,-2.41698338770928
0.5725,-2.19089544752667,-2.42033268610731
0.57475,-2.19334335935584,-2.42368180686638
0.577,-2.19579108942447,-2.42703074995683
0.57925,-2.19823863795476,-2.43037951533925
0.5815,-2.20068600516303,-2.43372810296463
0.58375,-2.20313319125989,-2.43707651277458
0.586,-2.20558019645054,-2.44042474470149
0.58825,-2.20802702093488,-2.44377279866869
0.5905,-2.2104736649078,-2.4471206745907
0.59275,-2.21292012855935,-2.45046837237334
0.595,-2.21536641207498,-2.45381589191395
0.59725,-2.2178125156357,-2.45716323310154
0.5995,-2.22025843941831,-2.46051039581697
0.60175,-2.22270418359559,-2.46385737993312
0.604,-2.22514974833651,-2.46720418531507
0.60625,-2.22759513380642,-2.47055081182025
0.6085,-2.23004034016725,-2.47389725929861
0.61075,-2.23248536757768,-2.47724352759278
0.613,-2.23493021619335,-2.48058961653825
0.61525,-2.23737488616706,-2.48393552596351
0.6175,-2.23981937764894,-2.48728125569022
0.61975,-2.24226369078663,-2.49062680553336
0.622,-2.24470782572548,-2.49397217530137
0.62425,-2.24715178260871,-2.49731736479636
0.6265,-2.24959556157763,-2.50066237381419
0.62875,-2.25203916277178,-2.50400720214467
0.631,-2.25448258632912,-2.5073518495717
0.63325,-2.25692583238621,-2.5106963158734
0.6355,-2.25936890107837,-2.51404060082227
0.63775,-2.26181179253989,-2.51738470418536
0.64,-2.26425450690414,-2.52072862572436
0.64225,-2.26669704430381,-2.52407236519578
0.6445,-2.26913940487102,-2.52741592235111
0.64675,-2.2715815887375,-2.53075929693691
0.649,-2.2740235960348,-2.53410248869498
0.65125,-2.27646542689439,-2.53744549736251
0.6535,-2.27890708144786,-2.54078832267219
0.65575,-2.28134855982708,-2.54413096435236
0.658,-2.28378986216434,-2.54747342212715
0.66025,-2.28623098859254,-2.5508156957166
0.6625,-2.28867193924532,-2.5541577848368
0.66475,-2.29111271425722,-2.55749968920006
0.667,-2.29355331376386,-2.56084140851495
0.66925,-2.29599373790207,-2.56418294248654
0.6715,-2.29843398681003,-2.56752429081644
0.67375,-2.30087406062748,-2.570865453203
0.676,-2.3033139594958,-2.57420642934136
0.67825,-2.3057536835582,-2.57754721892367
0.6805,-2.30819323295986,-2.58088782163914
0.68275,-2.31063260784809,-2.5842282371742
0.685,-2.31307180837244,-2.58756846521262
0.68725,-2.31551083468489,-2.59090850543563
0.6895,-2.31794968693997,-2.59424835752206
0.69175,-2.32038836529489,-2.59758802114843
0.694,-2.32282686990971,-2.60092749598912
0.69625,-2.32526520094749,-2.60426678171643
0.6985,-2.32770335857438,-2.60760587800077
0.70075,-2.33014134295979,-2.61094478451071
0.703,-2.33257915427657,-2.61428350091317
0.70525,-2.33501679270105,-2.61762202687348
0.7075,-2.33745425841326,-2.62096036205552
0.70975,-2.33989155159705,-2.62429850612186
0.712,-2.3423286724402,-2.62763645873385
0.71425,-2.34476562113455,-2.63097421955173
0.7165,-2.34720239787618,-2.63431178823478
0.71875,-2.3496390028655,-2.63764916444142
0.721,-2.35207543630738,-2.6409863478293
