"Freq [GHz]","ang_rad(S(waveport1,antenna)) [rad]","ang_rad(S(waveport2,antenna)) [rad]"
0.8182275,-2.69885751154006,-2.59269669561089
0.825725,-2.70912551126088,-2.60199582577125
0.8332225,-2.71939177286246,-2.6112933180149
0.84072,-2.72965628639144,-2.62058916294223
0.8482175,-2.73991904202804,-2.6298833512736
0.855715,-2.75018003008625,-2.63917587384934
0.8632125,-2.76043924101396,-2.64846672162962
0.87071,-2.77069666539318,-2.65775588569431
0.8782075,-2.7809522939401,-2.66704335724293
0.885705,-2.79120611750525,-2.67632912759439
0.8932025,-2.80145812707355,-2.68561318818687
0.9007,-2.81170831376438,-2.69489553057761
0.9081975,-2.82195666883163,-2.70417614644266
0.915695,-2.8322031836637,-2.71345502757663
0.9231925,-2.84244784978354,-2.72273216589248
0.93069,-2.85269065884858,-2.73200755342113
0.9381875,-2.86293160265071,-2.74128118231123
0.945685,-2.8731706731162,-2.75055304482878
0.9531825,-2.88340786230566,-2.75982313335679
0.96068,-2.89364316241385,-2.76909144039489
0.9681775,-2.90387656576962,-2.77835795855895
0.975675,-2.91410806483573,-2.78762268058064
0.9831725,-2.92433765220869,-2.796885599307
0.99067,-2.93456532061856,-2.80614670769998
0.9981675,-2.94479106292874,-2.81540599883597
1.005665,-2.95501487213574,-2.82466346590526
1.0131625,-2.96523674136892,-2.83391910221159
1.02066,-2.97545666389023,-2.84317290117152
1.0281575,-2.98567463309389,-2.85242485631398
1.035655,-2.99589064250609,-2.86167496127957
1.0431525,-3.00610468578467,-2.87092320982008
1.05065,-3.01631675671873,-2.88016959579779
1.0581475,-3.02652684922828,-2.88941411318489
1.065645,-3.03673495736385,-2.89865675606279
1.0731425,-3.04694107530604,-2.9078975186215
1.08064,-3.05714519736514,-2.91713639515888
1.0881375,-3.06734731798061,-2.92637338008001
1.095635,-3.07754743172067,-2.93560846789638
1.1031325,-3.08774553328176,-2.94484165322526
1.11063,-3.09794161748807,-2.95407293078886
1.1181275,-3.10813567929095,-2.96330229541359
1.125625,-3.11832771376844,-2.9725297420293
1.1331225,-3.12851771612463,-2.98175526566845
1.14062,-3.13870568168911,-2.99097886146528
1.1481175,3.13429370126322,-3.00020052465502
1.155615,3.12410982279444,-3.00942025057303
1.1631125,3.11392799438177,-3.01863803465393
1.17061,3.10374822019988,-3.02785387243072
1.1781075,3.09357050430114,-3.03706775953394
1.185605,3.08339485061635,-3.04627969169068
1.1931025,3.07322126295539,-3.05548966472378
1.2006,3.06304974500803,-3.06469767455081
1.2080975,3.0528803003446,-3.07390371718316
1.215595,3.04271293241681,-3.08310778872511
1.2230925,3.03254764455849,-3.09230988537286
1.23059,3.0223844399864,-3.10151000341352
1.2380875,3.01222332180105,-3.11070813922416
1.245585,3.00206429298754,-3.11990428927081
1.2530825,2.99190735641635,-3.12909845010746
1.26058,2.98175251484426,-3.13829061837499
1.2680775,2.97159977091522,3.13570451637936
1.275575,2.96144912716118,3.12651634298476
1.2830725,2.95130058600308,3.11733017172529
1.29057,2.94115414975171,3.10814600562271
1.2980675,2.93100982060868,3.09896384761704
1.305565,2.92086760066736,3.0897837005677
1.3130625,2.91072749191383,3.08060556725456
1.32056,2.90058949622788,3.07142945037899
1.3280575,2.89045361538401,3.06225535256503
1.335555,2.88031985105239,3.05308327636044
1.3430525,2.87018820479996,3.0439132242378
1.35055,2.86005867809137,3.03474519859565
1.3580475,2.84993127229009,3.02557920175962
1.365545,2.83980598865948,3.01641523598352
1.3730425,2.82968282836378,3.00725330345047
1.38054,2.81956179246931,2.99809340627408
1.3880375,2.80944288194545,2.98893554649954
1.395535,2.79932609766585,2.97977972610479
1.4030325,2.78921144040947,2.97062594700166
1.41053,2.77909891086176,2.96147421103702
1.4180275,2.7689885096158,2.95232451999393
1.425525,2.75888023717342,2.94317687559281
1.4330225,2.74877409394641,2.93403127949258
1.44052,2.73867008025766,2.92488773329184
1.4480175,2.72856819634236,2.91574623853001
1.455515,2.71846844234919,2.90660679668853
1.4630125,2.70837081834153,2.89746940919199
1.47051,2.69827532429868,2.88833407740929
1.4780075,2.68818196011707,2.87920080265487
1.485505,2.67809072561151,2.87006958618981
1.4930025,2.6680016205164,2.860940429223
1.5005,2.65791464448703,2.85181333291235
1.5079975,2.64782979710078,2.84268829836594
1.515495,2.63774707785846,2.83356532664315
1.5229925,2.6276664861855,2.82444441875586
1.53049,2.61758802143329,2.81532557566959
1.5379875,2.60751168288046,2.80620879830468
1.545485,2.59743746973416,2.79709408753742
1.5529825,2.58736538113137,2.78798144420123
1.56048,2.57729541614021,2.77887086908779
1.5679775,2.56722757376128,2.7697623629482
1.575475,2.55716185292891,2.7606559264941
1.5829725,2.54709825251259,2.75155156039885
1.59047,2.5370367713182,2.74244926529864
1.5979675,2.52697740808943,2.73334904179361
1.605465,2.51692016150907,2.724250890449
1.6129625,2.50686503020037,2.71515481179626
1.62046,2.49681201272841,2.70606080633416
1.6279575,2.48676110760143,2.69696887452993
1.635455,2.4767123132722,2.68787901682031
1.6429525,2.4666656281394,2.6787912336127
1.65045,2.45662105054895,2.66970552528621
1.6579475,2.44657857879541,2.66062189219279
1.665445,2.43653821112333,2.65154033465826
1.6729425,2.42649994572864,2.6424608529834
1.68044,2.41646378076002,2.63338344744504
1.6879375,2.40642971432029,2.62430811829706
1.695435,2.39639774446775,2.61523486577147
1.7029325,2.3863678692176,2.60616369007947
1.71043,2.37634008654334,2.59709459141241
1.7179275,2.36631439437808,2.58802756994289
1.725425,2.35629079061599,2.57896262582573
1.7329225,2.34626927311367,2.56989975919896
1.74042,2.33624983969149,2.56083897018486
1.7479175,2.32623248813505,2.55178025889089
1.755415,2.31621721619649,2.5427236254107
1.7629125,2.3062040215959,2.53366906982508
1.77041,2.29619290202273,2.52461659220292
1.7779075,2.28618385513711,2.51556619260213
1.785405,2.27617687857126,2.50651787107062
1.7929025,2.26617196993089,2.49747162764714
1.8004,2.25616912679652,2.48842746236229
1.8078975,2.24616834672488,2.47938537523933
1.815395,2.23616962725028,2.4703453662951
1.8228925,2.22617296588596,2.46130743554091
1.83039,2.21617836012546,2.45227158298337
1.8378875,2.20618580744398,2.44323780862529
1.845385,2.19619530529972,2.43420611246643
1.8528825,2.18620685113524,2.42517649450442
1.86038,2.17622044237881,2.41614895473553
1.8678775,2.16623607644573,2.40712349315543
1.875375,2.15625375073968,2.39810010976006
1.8828725,2.14627346265404,2.38907880454634
1.89037,2.13629520957323,2.38005957751296
1.8978675,2.12631898887399,2.37104242866108
1.905365,2.11634479792675,2.36202735799515
1.9128625,2.10637263409688,2.35301436552353
1.92036,2.09640249474602,2.34400345125927
1.9278575,2.08643437723334,2.33499461522075
1.935355,2.07646827891687,2.3259878574324
1.9428525,2.06650419715474,2.31698317792532
1.95035,2.05654212930646,2.30798057673795
1.9578475,2.04658207273417,2.29898005391671
1.965345,2.03662402480392,2.28998160951661
1.9728425,2.02666798288688,2.28098524360185
1.98034,2.0167139443606,2.27199095624641
1.9878375,2.00676190661021,2.26299874753462
1.995335,1.99681186702966,2.25400861756174
2.0028325,1.98686382302293,2.24502056643448
2.01033,1.97691777200518,2.23603459427154
2.0178275,1.966973711404,2.22705070120412
2.025325,1.95703163866055,2.21806888737642
2.0328225,1.94709155123073,2.20908915294615
2.04032,1.93715344658633,2.20011149808493
2.0478175,1.92721732221621,2.19113592297883
2.055315,1.91728317562742,2.18216242782877
2.0628125,1.90735100434632,2.17319101285097
2.07031,1.89742080591977,2.16422167827739
2.0778075,1.88749257791633,2.15525442435626
2.085305,1.87756631792764,2.14628925135275
2.0928025,1.86764202357074,2.13732615955054
2.1003,1.85771969249612,2.12836514925922
2.1077975,1.84779932258281,2.11940622100856
2.115295,1.83788091062828,2.11044937423783
2.1227925,1.82796445547446,2.10149461042094
2.13029,1.81804995437286,2.09254192943096
2.1377875,1.80813740513116,2.08359133168593
2.145285,1.79822680556279,2.0746428175977
2.1527825,1.78831815350953,2.06569638759381
2.16028,1.77841144684492,2.0567520421202
2.1677775,1.76850668347579,2.04780978164193
2.175275,1.75860386134328,2.03886960664359
2.1827725,1.74870297842388,2.02993151762947
2.19027,1.7388040327303,2.02099551512379
2.1977675,1.72890702231235,2.01206159967081
2.205265,1.71901194525783,2.003129771835
2.2127625,1.70911879969334,1.99420003220109
2.22026,1.69922758378508,1.98527238137419
2.2277575,1.68933829573971,1.97634681997985
2.235255,1.67945093380508,1.96742334866411
2.2427525,1.66956549627102,1.95850196809355
2.25025,1.65968198147008,1.9495826789553
2.2577475,1.64980038777825,1.94066548195704
2.265245,1.63992071361571,1.93175037782701
2.2727425,1.63004295744747,1.92283736731395
2.28024,1.62016711778411,1.91392645118709
2.2877375,1.61029319318235,1.90501763023609
2.295235,1.6004211822458,1.89611090527093
2.3027325,1.59055108362547,1.88720627712188
2.31023,1.58068289602044,1.87830374663933
2.3177275,1.57081661817843,1.86940331469374
2.325225,1.56095224889633,1.86050498217544
2.3327225,1.55108978702078,1.85160874999453
2.34022,1.5412292314487,1.8427146190807
2.3477175,1.53137058112773,1.83382259038304
2.355215,1.52151383505678,1.82493266486985
2.3627125,1.51165899228648,1.81604484352845
2.37021,1.5018060519196,1.80715912736493
2.3777075,1.49195501311147,1.79827551740393
2.385205,1.48210587507042,1.78939401468838
2.3927025,1.47225863705814,1.78051462027925
2.4002,1.46241329839,1.77163733525523
2.4076975,1.45256985843548,1.76276216071248
2.415195,1.4427283166184,1.75388909776429
2.4226925,1.43288867241727,1.7450181475408
2.43019,1.42305092536553,1.73614931118859
2.4376875,1.41321507505187,1.72728258987041
2.445185,1.40338112112035,1.71841798476477
2.4526825,1.39354906327074,1.70955549706557
2.46018,1.38371890125862,1.70069512798173
2.4676775,1.37389063489557,1.69183687873676
2.475175,1.36406426404934,1.68298075056837
2.4826725,1.35423978864394,1.67412674472802
2.49017,1.34441720865978,1.66527486248051
2.4976675,1.3345965241337,1.6564251051035
2.505165,1.32477773515908,1.64757747388703
2.5126625,1.31496084188584,1.6387319701331
2.52016,1.30514584452047,1.62988859515513
2.5276575,1.295332743326,1.62104735027748
2.535155,1.28552153862199,1.61220823683493
2.5426525,1.27571223078449,1.60337125617216
2.55015,1.2659048202459,1.59453640964321
2.5576475,1.25609930749496,1.58570369861096
2.565145,1.24629569307653,1.57687312444652
2.5726425,1.23649397759152,1.5680446885287
2.58014,1.22669416169672,1.55921839224345
2.5876375,1.21689624610454,1.55039423698321
2.595135,1.20710023158288,1.54157222414637
2.6026325,1.19730611895484,1.53275235513662
2.61013,1.18751390909849,1.52393463136235
2.6176275,1.17772360294658,1.51511905423603
2.625125,1.16793520148624,1.50630562517355
2.6326225,1.15814870575864,1.49749434559359
2.64012,1.14836411685865,1.48868521691694
2.6476175,1.13858143593449,1.47987824056586
2.655115,1.12880066418728,1.47107341796341
2.6626125,1.11902180287069,1.46227075053272
2.67011,1.10924485329046,1.45347023969636
2.6776075,1.09946981680394,1.44467188687559
2.685105,1.08969669481962,1.4358756934897
2.6926025,1.07992548879662,1.42708166095525
2.7001,1.07015620024415,1.41828979068538
2.7075975,1.06038883072097,1.40950008408906
2.715095,1.0506233818348,1.40071254257036
2.7225925,1.04085985524178,1.39192716752772
2.73009,1.03109825264575,1.38314396035316
2.7375875,1.02133857579773,1.37436292243159
2.745085,1.01158082649515,1.36558405513997
2.7525825,1.00182500658126,1.35680735984661
2.76008,0.992071117944349,1.34803283791034
2.7675775,0.982319162517073,1.33926049067975
2.775075,0.972569142275681,1.33049031949243
2.7825725,0.962821059239255,1.32172232567414
2.79007,0.953074915468915,1.31295651053803
2.7975675,0.943330713067017,1.30419287538385
2.805065,0.933588454176312,1.29543142149712
2.8125625,0.923848140979101,1.28667215014834
2.82006,0.914109775696358,1.27791506259217
2.8275575,0.904373360586841,1.26916016006662
2.835055,0.894638897946174,1.26040744379222
2.8425525,0.884906390105917,1.2516569149712
2.85005,0.875175839432613,1.24290857478665
2.8575475,0.865447248326813,1.2341624244017
2.865045,0.855720619222087,1.22541846495871
2.8725425,0.845995954584009,1.2166766975784
2.88004,0.836273256909131,1.207937123359
2.8875375,0.826552528723928,1.19919974337548
2.895035,0.816833772583736,1.19046455867862
2.9025325,0.807116991071662,1.18173157029425
2.91003,0.797402186797482,1.17300077922233
2.9175275,0.787689362396521,1.16427218643616
2.925025,0.777978520528513,1.15554579288154
2.9325225,0.768269663876457,1.14682159947588
2.94002,0.758562795145459,1.13809960710743
2.9475175,0.748857917061637,1.12937981663449
2.955015,0.739155032371371,1.12066222888504
2.9625125,0.729454143848125,1.11194684466395
2.97001,0.719755254222673,1.10323366468358
2.9775075,0.710058366365533,1.09452268974663
2.985005,0.700363483050363,1.08581392050996
2.9925025,0.690670607106291,1.07710735763739
3,0.680979741371167,1.06840300175339
