Freq [GHz],"dB(S(waveport1,antenna)) []"
0.42755725,-42.8571063323377
0.430057,-42.8105693574033
0.43255675,-42.764345478272
0.4350565,-42.7184312468794
0.43755625,-42.6728232731323
0.440056,-42.6275182235869
0.44255575,-42.5825128201646
0.4450555,-42.5378038389039
0.44755525,-42.4933881087471
0.450055,-42.4492625103616
0.45255475,-42.4054239749931
0.4550545,-42.3618694833508
0.45755425,-42.3185960645235
0.460054,-42.2756007949247
0.46255375,-42.2328807972667
0.4650535,-42.1904332395627
0.46755325,-42.1482553341549
0.470053,-42.1063443367695
0.47255275,-42.0646975455961
0.4750525,-42.0233123003919
0.47755225,-41.9821859816095
0.480052,-41.9413160095468
0.48255175,-41.9006998435203
0.4850515,-41.8603349810586
0.48755125,-41.8202189571174
0.490051,-41.7803493433145
0.49255075,-41.7407237471841
0.4950505,-41.7013398114504
0.49755025,-41.6621952133191
0.50005,-41.6232876637873
0.50254975,-41.5846149069701
0.5050495,-41.546174719444
0.50754925,-41.5079649096074
0.510049,-41.4699833170554
0.51254875,-41.4322278119716
0.5150485,-41.394696294533
0.51754825,-41.3573866943313
0.520048,-41.3202969698061
0.52254775,-41.2834251076938
0.5250475,-41.2467691224879
0.52754725,-41.2103270559134
0.530047,-41.1740969764132
0.53254675,-41.1380769786468
0.5350465,-41.1022651830001
0.53754625,-41.0666597351081
0.540046,-41.0312588053871
0.54254575,-40.9960605885789
0.5450455,-40.9610633033052
0.54754525,-40.9262651916317
0.550045,-40.8916645186433
0.55254475,-40.8572595720276
0.5550445,-40.8230486616693
0.55754425,-40.7890301192525
0.560044,-40.7552022978724
0.56254375,-40.7215635716562
0.5650435,-40.6881123353916
0.56754325,-40.6548470041642
0.570043,-40.6217660130022
0.57254275,-40.5888678165298
0.5750425,-40.5561508886276
0.57754225,-40.5236137221004
0.580042,-40.4912548283524
0.58254175,-40.4590727370696
0.5850415,-40.4270659959083
0.58754125,-40.3952331701913
0.590041,-40.3635728426098
0.59254075,-40.332083612932
0.5950405,-40.3007640977175
0.59754025,-40.2696129300384
0.60004,-40.2386287592055
0.60253975,-40.2078102505007
0.6050395,-40.1771560849149
0.60753925,-40.1466649588911
0.610039,-40.116335584073
0.61253875,-40.086166687059
0.6150385,-40.0561570091604
0.61753825,-40.0263053061659
0.620038,-39.9966103481094
0.62253775,-39.9670709190435
0.6250375,-39.9376858168174
0.62753725,-39.9084538528587
0.630037,-39.8793738519604
0.63253675,-39.8504446520714
0.6350365,-39.8216651040919
0.63753625,-39.793034071672
0.640036,-39.7645504310147
0.64253575,-39.7362130706832
0.6450355,-39.708020891411
0.64753525,-39.6799728059166
0.650035,-39.6520677387211
0.65253475,-39.6243046259698
0.6550345,-39.5966824152571
0.65753425,-39.5692000654546
0.660034,-39.5418565465426
0.66253375,-39.514650839445
0.6650335,-39.4875819358666
0.66753325,-39.4606488381349
0.670033,-39.4338505590429
0.67253275,-39.4071861216969
0.6750325,-39.3806545593654
0.67753225,-39.3542549153323
0.680032,-39.3279862427512
0.68253175,-39.3018476045041
0.6850315,-39.2758380730616
0.68753125,-39.2499567303456
0.690031,-39.2242026675955
0.69253075,-39.1985749852356
0.6950305,-39.1730727927458
0.69753025,-39.1476952085343
0.70003,-39.1224413598124
0.70252975,-39.0973103824722
0.7050295,-39.0723014209654
0.70752925,-39.0474136281856
0.710029,-39.0226461653516
0.71252875,-38.9979982018929
0.7150285,-38.9734689153382
0.71752825,-38.9490574912045
0.720028,-38.9247631228889
0.72252775,-38.9005850115625
0.7250275,-38.8765223660652
0.72752725,-38.8525744028034
0.730027,-38.828740345649
0.73252675,-38.8050194258395
0.7350265,-38.7814108818813
0.73752625,-38.757913959453
0.740026,-38.7345279113117
0.74252575,-38.7112519972
0.7450255,-38.6880854837548
0.74752525,-38.665027644418
0.750025,-38.6420777593484
0.75252475,-38.6192351153347
0.7550245,-38.5964990057109
0.75752425,-38.5738687302719
0.760024,-38.5513435951917
0.76252375,-38.5289229129423
