"Freq [GHz]","ang_rad(S(waveport2:1,antenna)) [rad]","ang_rad(S(waveport1:1,antenna)) [rad]"
0.1,1.13955522373543,-2.03561008574325
0.10225,1.1299490051543,-2.04596763600538
0.1045,1.12034283989703,-2.05632523933483
0.10675,1.11073676149725,-2.06668287367262
0.109,1.10113080260279,-2.07704051726245
0.11125,1.09152499498667,-2.08739814862894
0.1135,1.08191936955151,-2.09775574657178
0.11575,1.07231395632996,-2.10811329017085
0.118,1.06270878448298,-2.11847075879894
0.12025,1.05310388229733,-2.12882813213915
0.1225,1.04349927718323,-2.1391853902049
0.12475,1.03389499567265,-2.14954251336115
0.127,1.0242910634188,-2.15989948234553
0.12925,1.01468750519687,-2.17025627828879
0.1315,1.00508434490625,-2.18061288273382
0.13375,0.995481605574128,-2.19096927765301
0.136,0.985879309360441,-2.20132544546379
0.13825,0.976277477564168,-2.211681369042
0.1405,0.96667613063074,-2.22203703173344
0.14275,0.957075288160513,-2.23239241736326
0.145,0.947474968918146,-2.24274751024353
0.14725,0.937875190842764,-2.25310229517897
0.1495,0.928275971058785,-2.26345675747103
0.15175,0.918677325887269,-2.27381088292036
0.154,0.909079270857714,-2.28416465782787
0.15625,0.899481820720168,-2.2945180689946
0.1585,0.889884989457592,-2.30487110372026
0.16075,0.880288790298377,-2.31522374980094
0.163,0.870693235728947,-2.32557599552574
0.16525,0.861098337506395,-2.3359278296728
0.1675,0.851504106671096,-2.34627924150445
0.16975,0.841910553559247,-2.35663022076192
0.172,0.83231768781529,-2.36698075765948
0.17425,0.822725518404213,-2.3773308428782
0.1765,0.813134053623674,-2.38768046755933
0.17875,0.803543301115942,-2.39802962329743
0.181,0.793953267879641,-2.40837830213329
0.18325,0.784363960281273,-2.41872649654667
0.1855,0.774775384066532,-2.42907419944888
0.18775,0.765187544371382,-2.43942140417539
0.19,0.755600445732916,-2.44976810447826
0.19225,0.746014092099977,-2.46011429451871
0.1945,0.73642848684357,-2.47045996885957
0.19675,0.72684363276703,-2.48080512245783
0.199,0.717259532115993,-2.49114975065731
0.20125,0.707676186588143,-2.50149384918128
0.2035,0.698093597342769,-2.51183741412528
0.20575,0.688511765010102,-2.52218044194999
0.208,0.678930689700496,-2.53252292947422
0.21025,0.669350371013403,-2.54286487386803
0.2125,0.659770808046189,-2.55320627264598
0.21475,0.650191999402795,-2.56354712366049
0.217,0.640613943202233,-2.57388742509531
0.21925,0.631036637086946,-2.58422717545925
0.2215,0.621460078231043,-2.59456637357981
0.22375,0.611884263348389,-2.60490501859723
0.226,0.602309188700601,-2.61524310995841
0.22825,0.592734850104924,-2.62558064741114
0.2305,0.583161242942013,-2.63591763099837
0.23275,0.573588362163621,-2.64625406105265
0.235,0.56401620230021,-2.65658993819064
0.23725,0.554444757468479,-2.66692526330779
0.2395,0.544874021378832,-2.67726003757314
0.24175,0.535303987342778,-2.68759426242415
0.244,0.52573464828028,-2.69792793956173
0.24625,0.516165996727051,-2.70826107094534
0.2485,0.506598024841815,-2.71859365878815
0.25075,0.49703072441352,-2.72892570555233
0.253,0.487464086868527,-2.73925721394447
0.25525,0.477898103277767,-2.74958818691097
0.2575,0.46833276436388,-2.7599186276336
0.25975,0.458768060508327,-2.77024853952515
0.262,0.449203981758495,-2.78057792622505
0.26425,0.439640517834787,-2.79090679159517
0.2665,0.430077658137705,-2.80123513971561
0.26875,0.420515391754928,-2.81156297488055
0.271,0.410953707468387,-2.82189030159424
0.27325,0.401392593761344,-2.8322171245669
0.2755,0.391832038825466,-2.84254344871081
0.27775,0.382272030567915,-2.85286927913634
0.28,0.372712556618438,-2.86319462114808
0.28225,0.36315360433646,-2.87351948024096
0.2845,0.353595160818204,-2.88384386209647
0.28675,0.344037212903796,-2.89416777257884
0.289,0.334479747184414,-2.90449121773131
0.29125,0.32492275000942,-2.91481420377237
0.2935,0.315366207493524,-2.92513673709209
0.29575,0.305810105523955,-2.93545882424838
0.298,0.296254429767651,-2.94578047196339
0.30025,0.286699165678455,-2.95610168711978
0.3025,0.277144298504337,-2.96642247675715
0.30475,0.267589813294624,-2.97674284806841
0.307,0.258035694907245,-2.98706280839612
0.30925,0.248481928015989,-2.99738236522893
0.3115,0.238928497117785,-3.00770152619799
0.31375,0.229375386539985,-3.01802029907333
0.316,0.219822580447662,-3.02833869176033
0.31825,0.210270062850929,-3.03865671229608
0.3205,0.200717817612255,-3.04897436884586
0.32275,0.191165828453805,-3.05929166969953
0.325,0.181614078964777,-3.06960862326798
0.32725,0.172062552608758,-3.07992523807958
0.3295,0.162511232731079,-3.09024152277657
0.33175,0.152960102566182,-3.1005574861115
0.334,0.143409145244987,-3.11087313694368
0.33625,0.133858343802267,-3.12118848423559
0.3385,0.12430768118402,-3.13150353704931
0.34075,0.114757140254846,3.14136700263665
0.343,0.10520670380532,3.13105251121259
0.34525,0.0956563545593638,3.12073828651869
0.3475,0.0861060751816176,3.11042431913031
0.34975,0.076555848284797,3.10011059954109
0.352,0.0670056564370523,3.08979711816662
0.35425,0.0574554821693142,3.07948386534797
0.3565,0.0479053079826277,3.06917083135533
0.35875,0.0383551163554789,3.05885800639159
0.361,0.0288048897511014,3.04854538059597
0.36325,0.0192546106247718,3.03823294404759
0.3655,0.0097042614310844,3.0279206867691
0.36775,0.000153824631209474,3.01760859873027
0.37,-0.00939671729987553,3.00729666985165
0.37225,-0.0189473818661685,2.99698489000812
0.3745,-0.0284981865434631,2.98667324903253
0.37675,-0.0380491487721847,2.97636173671932
0.379,-0.0476002859502606,2.96605034282813
0.38125,-0.0571516154260232,2.95573905708737
0.3835,-0.06670315449114,2.9454278691979
0.38575,-0.0762549203735867,2.93511676883658
0.388,-0.0858069302306472,2.92480574565989
0.39025,-0.0953592011419627,2.91449478930754
0.3925,-0.104911750102613,2.90418388940607
0.39475,-0.114464594016246,2.89387303557242
0.397,-0.12401774968825,2.88356221741754
0.39925,-0.133571233818975,2.87325142454994
0.4015,-0.143125062996995,2.86294064657933
0.40375,-0.152679253692433,2.85262987312012
0.406,-0.162233822250331,2.84231909379501
0.40825,-0.171788784884072,2.83200829823855
0.4105,-0.18134415766887,2.82169747610067
0.41275,-0.190899956535305,2.81138661705024
0.415,-0.200456197262929,2.80107571077855
0.41725,-0.210012895473931,2.79076474700288
0.4195,-0.219570066626863,2.78045371546997
0.42175,-0.229127726010439,2.77014260595951
0.424,-0.2386858887374,2.75983140828766
0.42625,-0.248244569738444,2.74952011231046
0.4285,-0.257803783756238,2.73920870792735
0.43075,-0.267363545339496,2.72889718508457
0.433,-0.276923868837139,2.71858553377861
0.43525,-0.286484768392527,2.70827374405962
0.4375,-0.296046257937776,2.69796180603482
0.43975,-0.305608351188153,2.68764970987188
0.442,-0.31517106163656,2.67733744580233
0.44425,-0.324734402548095,2.66702500412488
0.4465,-0.334298386954707,2.65671237520877
0.44875,-0.343863027649937,2.64639954949714
