"Freq [GHz]","sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
0.001,1.22061994321915E-05
0.0084975,0.000103131136805243
0.015995,0.00019411430747153
0.0234925,0.000285100443511105
0.03099,0.000376087653137841
0.0384875,0.000467075690419451
0.045985,0.000558064555141885
0.0534825,0.000649054320277045
0.06098,0.000740045084125619
0.0684775,0.000831036964181113
0.075975,0.000922030084863423
0.0834725,0.00101302457001667
0.09097,0.00110402054879929
0.0984675,0.00119501815048587
0.105965,0.00128601739596787
0.1134625,0.00137701845023531
0.12096,0.00146802146132086
0.1284575,0.00155902655816381
0.135955,0.00165003386999752
0.1434525,0.00174104352615217
0.15095,0.00183205565587804
0.1584475,0.00192307038730896
0.165945,0.00201408784444428
0.1734425,0.00210510810664276
0.18094,0.00219613157603853
0.1884375,0.00228715798941604
0.195935,0.00237818767763961
0.2034325,0.00246922075078244
0.21093,0.00256025733509452
0.2184275,0.00265129756050216
0.225925,0.00274234155507255
0.2334225,0.00283338944827338
0.24092,0.00292444137043499
0.2484175,0.00301549745129253
0.255915,0.0031065578191579
0.2634125,0.00319762260542099
0.27091,0.00328869193880991
0.2784075,0.0033797659493731
0.285905,0.00347084476620358
0.2934025,0.00356192852020928
0.3009,0.00365301734073875
0.3083975,0.00374411135728018
0.315895,0.00383521070019531
0.3233925,0.00392631549946861
0.33089,0.00401742588468188
0.3383875,0.00410854198617222
0.345885,0.00419966393428491
0.3533825,0.00429079185829852
0.36088,0.00438192588898782
0.3683775,0.00447306615595941
0.375875,0.00456421278961522
0.3833725,0.00465536592029237
0.39087,0.00474652567825584
0.3983675,0.00483769219375334
0.405865,0.00492886559710559
0.4133625,0.00502004601893386
0.42086,0.00511123358905117
0.4283575,0.00520242843875499
0.435855,0.00529363069758223
0.4433525,0.0053848404971062
0.45085,0.00547605796708531
0.4583475,0.00556728323852796
0.465845,0.00565851644249488
0.4733425,0.0057497577090693
0.48084,0.00584100716934101
0.4883375,0.00593226495411612
0.495835,0.00602353119450057
0.5033325,0.00611480602120626
0.51083,0.00620608956489673
0.5183275,0.00629738195750811
0.525825,0.00638868332926652
0.5333225,0.00647999381168647
0.54082,0.00657131353622311
0.5483175,0.00666264263372641
0.555815,0.00675398123562661
0.5633125,0.00684532947340672
0.57081,0.00693668747830583
0.5783075,0.00702805538204163
0.585805,0.00711943331600616
0.5933025,0.00721082141205419
0.6008,0.00730221980139082
0.6082975,0.00739362861630564
0.615795,0.00748504798812253
0.6232925,0.00757647804905308
0.63079,0.00766791893075053
0.6382875,0.00775937076540453
0.645785,0.0078508336850705
0.6532825,0.00794230782174862
0.66078,0.00803379330776661
0.6682775,0.00812529027549983
0.675775,0.00821679885685277
0.6832725,0.00830831918459497
0.69077,0.00839985139102187
0.6982675,0.00849139560871623
0.705765,0.00858295197046809
0.7132625,0.00867452060877287
0.72076,0.00876610165648146
0.7282575,0.00885769524620866
0.735755,0.00894930151128362
0.7432525,0.00904092058440009
0.75075,0.00913255259875427
0.7582475,0.00922419768746204
0.765745,0.00931585598376994
0.7732425,0.00940752762100076
0.78074,0.00949921273247956
0.7882375,0.00959091145164272
0.795735,0.00968262391230711
0.8032325,0.00977435024793812
0.81073,0.00986609059212739
0.8182275,0.00995784507891676
0.825725,0.0100496138420255
0.8332225,0.0101413970156873
0.84072,0.0102331947336472
0.8482175,0.0103250071303003
0.855715,0.010416834339836
0.8632125,0.0105086764965871
0.87071,0.0106005337349895
0.8782075,0.0106924061895546
0.885705,0.0107842939950478
0.8932025,0.0108761972860316
0.9007,0.0109681161972237
0.9081975,0.0110600508637099
0.915695,0.0111520014203533
0.9231925,0.0112439680026001
0.93069,0.0113359507451593
0.9381875,0.0114279497837262
0.945685,0.0115199652533397
0.9531825,0.0116119972898285
0.96068,0.0117040460285197
0.9681775,0.0117961116054381
0.975675,0.0118881941561324
0.9831725,0.0119802938165489
0.99067,0.0120724107228915
0.9981675,0.0121645450110601
1.005665,0.012256696817385
1.0131625,0.0123488662781928
1.02066,0.0124410535299782
1.0281575,0.0125332587093525
1.035655,0.0126254819528386
1.0431525,0.012717723397319
1.05065,0.0128099831796508
1.0581475,0.012902261436943
1.065645,0.0129945583061603
1.0731425,0.0130868739247902
1.08064,0.0131792084300032
1.0881375,0.0132715619594164
1.095635,0.0133639346502866
1.1031325,0.0134563266407905
1.11063,0.0135487380685967
1.1181275,0.0136411690715711
1.125625,0.013733619788011
1.1331225,0.013826090355886
1.14062,0.0139185809136863
1.1481175,0.014011091599822
1.155615,0.014103622552851
1.1631125,0.0141961739115182
1.17061,0.014288745814681
1.1781075,0.0143813384012719
1.185605,0.0144739518104722
1.1931025,0.0145665861816015
1.2006,0.0146592416537266
1.2080975,0.0147519183665653
1.215595,0.0148446164598285
1.2230925,0.0149373360730912
1.23059,0.0150300773463415
1.2380875,0.0151228404197095
1.245585,0.0152156254333288
1.2530825,0.0153084325275073
1.26058,0.0154012618426022
1.2680775,0.0154941135195419
1.275575,0.015586987698752
1.2830725,0.0156798845214051
1.29057,0.0157728041282583
1.2980675,0.0158657466607172
1.305565,0.0159587122600969
1.3130625,0.0160517010677864
1.32056,0.0161447132255574
1.3280575,0.0162377488750213
1.335555,0.0163308081582685
