"Freq [GHz]","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))_1 []"
1.845385,-89.9932584220029,620.009954153809
1.8528825,-89.9932299041036,617.410531964955
1.86038,-89.9932013718177,614.831685693341
1.8678775,-89.9931728250685,612.273167430524
1.875375,-89.9931442637797,609.734733231554
1.8828725,-89.9931156878748,607.216143036381
1.89037,-89.9930870972776,604.717160594752
1.8978675,-89.993058491912,602.237553439843
1.905365,-89.9930298717023,599.777092474008
1.9128625,-89.9930012365727,597.335552723259
1.92036,-89.9929725864477,594.91271229228
1.9278575,-89.9929439212521,592.508352880067
1.935355,-89.9929152409111,590.122259559767
1.9428525,-89.9928865453496,587.754220720018
1.95035,-89.9928578344935,585.404028001929
1.9578475,-89.9928291082685,583.071476236941
1.965345,-89.9928003666005,580.756363386019
1.9728425,-89.9927716094164,578.458490480186
1.98034,-89.9927428366427,576.1776615624
1.9878375,-89.9927140482068,573.913683630743
1.995335,-89.9926852440358,571.666366582887
2.0028325,-89.992656424058,569.435523161807
2.01033,-89.9926275882015,567.220968902709
2.0178275,-89.9925987363949,565.022522081137
2.025325,-89.9925698685675,562.840003662236
2.0328225,-89.9925409846488,560.673237251133
2.04032,-89.9925120845686,558.522049044418
2.0478175,-89.9924831682576,556.386267782683
2.055315,-89.9924542356465,554.265724704106
2.0628125,-89.9924252866667,552.160253499041
2.07031,-89.9923963212502,550.069690265599
2.0778075,-89.9923673393291,547.993873466185
2.085305,-89.9923383408364,545.93264388498
2.0928025,-89.9923093257056,543.885844586329
2.1003,-89.9922802938701,541.853320874023
2.1077975,-89.9922512452648,539.834920251451
2.115295,-89.9922221798242,537.830492382592
2.1227925,-89.9921930974839,535.839889053846
2.13029,-89.9921639981799,533.862964136656
2.1377875,-89.9921348818484,531.899573550929
2.145285,-89.9921057484266,529.949575229209
2.1527825,-89.9920765978518,528.012829081617
2.16028,-89.9920474300622,526.089196961501
2.1677775,-89.9920182449961,524.178542631812
2.175275,-89.9919890425927,522.28073173217
2.1827725,-89.9919598227912,520.395631746607
2.19027,-89.9919305855317,518.523111971972
2.1977675,-89.9919013307545,516.663043486985
2.205265,-89.9918720584005,514.815299121921
2.2127625,-89.9918427684109,512.979753428905
2.22026,-89.9918134607272,511.156282652817
2.2277575,-89.9917841352915,509.344764702773
2.235255,-89.9917547920461,507.545079124186
2.2427525,-89.9917254309336,505.757107071391
2.25025,-89.9916960518969,503.980731280803
2.2577475,-89.9916666548789,502.215836044624
2.265245,-89.9916372398231,500.462307185059
2.2727425,-89.9916078066729,498.720032029052
2.28024,-89.9915783553716,496.988899383511
2.2877375,-89.991548885863,495.268799511026
2.295235,-89.9915193980904,493.559624106054
2.3027325,-89.9914898919972,491.861266271582
2.31023,-89.9914603675266,490.173620496227
2.3177275,-89.9914308246217,488.496582631791
2.325225,-89.991401263225,486.830049871247
2.3327225,-89.9913716832788,485.173920727143
2.34022,-89.9913420847248,483.528095010431
2.3477175,-89.991312467504,481.892473809689
2.355215,-89.9912828315569,480.266959470745
2.3627125,-89.9912531768229,478.651455576689
2.37021,-89.9912235032408,477.04586692826
2.3777075,-89.9911938107479,475.450099524603
2.385205,-89.9911640992805,473.864060544391
2.3927025,-89.9911343687735,472.287658327296
2.4002,-89.9911046191602,470.720802355811
2.4076975,-89.9910748503722,469.163403237408
2.415195,-89.9910450623392,467.615372687024
2.4226925,-89.9910152549889,466.076623509878
2.43019,-89.9909854282467,464.547069584599
2.4376875,-89.9909555820353,463.026625846663
2.445185,-89.9909257162749,461.51520827214
2.4526825,-89.9908958308827,460.012733861731
2.46018,-89.9908659257726,458.5191206251
2.4676775,-89.9908360008549,457.034287565482
2.475175,-89.9908060560364,455.558154664583
2.4826725,-89.9907760912195,454.09064286774
2.49017,-89.9907461063024,452.631674069348
2.4976675,-89.9907161011784,451.181171098556
2.505165,-89.9906860757357,449.739057705212
2.5126625,-89.9906560298573,448.305258546057
2.52016,-89.9906259634197,446.879699171165
2.5276575,-89.9905958762937,445.462306010625
2.535155,-89.9905657683429,444.053006361451
2.5426525,-89.9905356394238,442.651728374731
2.55015,-89.9905054893853,441.258401042987
2.5576475,-89.9904753180678,439.872954187769
2.565145,-89.9904451253028,438.495318447456
2.5726425,-89.9904149109129,437.12542526527
2.58014,-89.99038467471,435.763206877495
2.5876375,-89.9903544164956,434.408596301902
2.595135,-89.99032413606,433.061527326367
2.6026325,-89.9902938331811,431.72193449769
2.61013,-89.9902635076241,430.389753110593
2.6176275,-89.9902331591404,429.064919196916
2.625125,-89.990202787467,427.747369514989
2.6326225,-89.9901723923253,426.437041539182
2.64012,-89.9901419734205,425.133873449629
2.6476175,-89.9901115304403,423.837804122131
2.655115,-89.990081063054,422.548773118216
2.6626125,-89.9900505709114,421.266720675372
2.67011,-89.9900200536416,419.991587697436
2.6776075,-89.9899895108517,418.723315745139
2.685105,-89.9899589421257,417.461847026814
2.6926025,-89.9899283470228,416.207124389246
2.7001,-89.9898977250764,414.959091308675
2.7075975,-89.9898670757921,413.717691881942
2.715095,-89.9898363986466,412.482870817779
2.7225925,-89.9898056930857,411.25457342824
2.73009,-89.9897749585226,410.03274562026
2.7375875,-89.9897441943358,408.817333887358
2.745085,-89.9897133998676,407.608285301467
2.7525825,-89.9896825744218,406.405547504887
2.76008,-89.9896517172612,405.209068702372
2.7675775,-89.9896208276061,404.018797653336
2.775075,-89.9895899046309,402.834683664174
2.7825725,-89.989558947462,401.656676580713
2.79007,-89.9895279551753,400.484726780769
2.7975675,-89.9894969267931,399.318785166816
2.805065,-89.9894658612811,398.158803158775
2.8125625,-89.989434757545,397.004732686899
2.82006,-89.989403614428,395.856526184777
2.8275575,-89.9893724307061,394.714136582428
2.835055,-89.9893412050854,393.577517299507
2.8425525,-89.9893099361975,392.446622238607
2.85005,-89.9892786225959,391.321405778656
2.8575475,-89.9892472627511,390.201822768407
2.865045,-89.9892158550465,389.087828520031
2.8725425,-89.9891843977731,387.979378802789
2.88004,-89.9891528891247,386.876429836795
2.8875375,-89.9891213271923,385.778938286876
2.895035,-89.9890897099584,384.686861256496
2.9025325,-89.989058035291,383.600156281788
2.91003,-89.9890263009375,382.518781325641
2.9175275,-89.9889945045173,381.442694771886
2.925025,-89.9889626435151,380.371855419546
2.9325225,-89.9889307152735,379.306222477165
2.94002,-89.988898716985,378.245755557209
2.9475175,-89.9888666456831,377.190414670541
2.955015,-89.988834498234,376.140160220957
2.9625125,-89.9888022713271,375.094952999796
2.97001,-89.9887699614646,374.054754180614
2.9775075,-89.9887375649517,373.019525313913
2.985005,-89.9887050778848,371.989228321946
2.9925025,-89.9886724961402,370.963825493565
3,-89.9886398153611,369.943279479138

