"Freq [GHz]","Antenna to Waveport 2 [rad]","Antenna to Waveport 1 [rad]"
0.001,-1.57097997019126,-1.57325079231991
0.0084975,-1.57235808357386,-1.59165186981765
0.015995,-1.57373746950109,-1.61005161958483
0.0234925,-1.57511933201347,-1.62844870741396
0.03099,-1.57650488124049,-1.64684187539996
0.0384875,-1.57789530048216,-1.66522987883142
0.045985,-1.57929175932132,-1.68361147910045
0.0534825,-1.58069541719915,-1.70198544471079
0.06098,-1.58210742368127,-1.72035055271172
0.0684775,-1.58352891736417,-1.73870558983958
0.075975,-1.58496102480083,-1.75704935394432
0.0834725,-1.58640485922836,-1.77538065523986
0.09097,-1.58786151936857,-1.79369831756853
0.0984675,-1.5893320882892,-1.81200117963654
0.105965,-1.59082157566031,-1.83028836953671
0.1134625,-1.59232790120386,-1.84855843607212
0.12096,-1.59385115357478,-1.86681016384742
0.1284575,-1.59539243685388,-1.88504243363332
0.135955,-1.59695283046229,-1.90325414100088
0.1434525,-1.59853339110772,-1.92144419737708
0.15095,-1.60013515396352,-1.93961153098601
0.1584475,-1.60175913334514,-1.9577550877017
0.165945,-1.6034063230531,-1.97587383182852
0.1734425,-1.60507769649368,-1.99396674682004
0.18094,-1.6067742066513,-2.01203283594255
0.1884375,-1.6084967859636,-2.03007112288829
0.195935,-1.61024634613453,-2.04808065234119
0.2034325,-1.61202377791037,-2.06606049049723
0.21093,-1.61382995083654,-2.08400972554128
0.2184275,-1.61566571300826,-2.10192746808112
0.225925,-1.61753189082436,-2.11981285154007
0.2334225,-1.61942928875145,-2.13766503250863
0.24092,-1.62135868910336,-2.15548319105621
0.2484175,-1.62332085183979,-2.17326653100343
0.255915,-1.62531651438704,-2.19101428015586
0.2634125,-1.6273463914828,-2.20872569050003
0.27091,-1.62941117504668,-2.2264000383628
0.2784075,-1.63151153407858,-2.24403662453575
0.285905,-1.63364811458856,-2.26163477436902
0.2934025,-1.63582153957802,-2.2791938378547
0.3009,-1.63803240928175,-2.29671318991044
0.3083975,-1.64028129329693,-2.31419222249052
0.315895,-1.64256876225929,-2.33163037618602
0.3233925,-1.64489533306234,-2.3490270853115
0.33089,-1.64726151706511,-2.36638182592545
0.3383875,-1.64966779949978,-2.38369409499761
0.345885,-1.65211464280689,-2.40096341345301
0.3533825,-1.65460248688986,-2.4181893260863
0.36088,-1.65713174930738,-2.43537140136719
0.3683775,-1.65970282547472,-2.45250923121017
0.375875,-1.66231608888249,-2.46960243071924
0.3833725,-1.66497189133367,-2.48665063791079
0.39087,-1.6676705631986,-2.50365351341659
0.3983675,-1.67041241368713,-2.52061074016824
0.405865,-1.67319773113677,-2.53752202306444
0.4133625,-1.67602678331606,-2.55438708862238
0.42086,-1.67889981774198,-2.57120568461444
0.4283575,-1.68181706201043,-2.58797757969135
0.435855,-1.68477872413871,-2.6047025629932
0.4433525,-1.68778499291905,-2.62138044374921
0.45085,-1.69083603828215,-2.63801105086753
0.4583475,-1.69393201166976,-2.65459423251624
0.465845,-1.6970730464153,-2.6711298556964
