"Phase [deg]","Freq [GHz]","elec_energy*8.8541878128e-12/(sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna)))))))*sqrt(2))**2 []"
0,0.001,3.84612862779475E-14
0,0.104413793103448,3.83548758809431E-14
0,0.207827586206897,3.83200163088308E-14
0,0.311241379310345,3.83022568449823E-14
0,0.414655172413793,3.829213051534E-14
0,0.518068965517241,3.82866386497602E-14
0,0.62148275862069,3.82844437219E-14
0,0.724896551724138,3.8284832384046E-14
0,0.828310344827586,3.82873799327859E-14
0,0.931724137931034,3.82918140538113E-14
0,1.03513793103448,3.82979505719934E-14
0,1.13855172413793,3.83056600527914E-14
0,1.24196551724138,3.83148490191077E-14
0,1.34537931034483,3.83254484826058E-14
0,1.44879310344828,3.83374070760326E-14
0,1.55220689655172,3.83506860771418E-14
0,1.65562068965517,3.83652566327948E-14
0,1.75903448275862,3.83810972790728E-14
0,1.86244827586207,3.83981925623202E-14
0,1.96586206896552,3.84165317936198E-14
0,2.06927586206897,3.84361082951998E-14
0,2.17268965517241,3.84569186708739E-14
0,2.27610344827586,3.84789625344268E-14
0,2.37951724137931,3.8502241851851E-14
0,2.48293103448276,3.85267609724348E-14
0,2.58634482758621,3.8552526221306E-14
0,2.68975862068966,3.85795457127026E-14
0,2.7931724137931,3.86078294118422E-14
0,2.89658620689655,3.86373888045633E-14
0,3,3.86682370119575E-14

