"Phase [deg]","Freq [GHz]","mag_energy*1.256637e-6/(sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))))*sqrt(2))**2 []"
0,0.001,2.13649462583298E-09
0,0.104413793103448,2.13665814645496E-09
0,0.207827586206897,2.13710369468675E-09
0,0.311241379310345,2.13784424953976E-09
0,0.414655172413793,2.13888022076796E-09
0,0.518068965517241,2.14021227378492E-09
0,0.62148275862069,2.14184125589876E-09
0,0.724896551724138,2.1437684051111E-09
0,0.828310344827586,2.14599515878867E-09
0,0.931724137931034,2.14852300962873E-09
0,1.03513793103448,2.1513538325705E-09
0,1.13855172413793,2.15448978437167E-09
0,1.24196551724138,2.1579331626681E-09
0,1.34537931034483,2.16168650167955E-09
0,1.44879310344828,2.16575277581373E-09
0,1.55220689655172,2.17013474145537E-09
0,1.65562068965517,2.17483607557493E-09
0,1.75903448275862,2.17986019337096E-09
0,1.86244827586207,2.18521083950078E-09
0,1.96586206896552,2.19089230833936E-09
0,2.06927586206897,2.19690899917349E-09
0,2.17268965517241,2.20326546965096E-09
0,2.27610344827586,2.20996692184522E-09
0,2.37951724137931,2.2170184217959E-09
0,2.48293103448276,2.22442588260489E-09
0,2.58634482758621,2.23219501696408E-09
0,2.68975862068966,2.24033229711192E-09
0,2.7931724137931,2.24884431860924E-09
0,2.89658620689655,2.25773796852388E-09
0,3,2.26702089633135E-09

