"Phase [deg]","Freq [GHz]","sqrt(curr_loop3_real*curr_loop3_real+curr_loop3_imag*curr_loop3_imag) []","sqrt(curr_loop_1_real*curr_loop_1_real+curr_loop_1_imag*curr_loop_1_imag)_1 []"
0,0.001,0.395050855270475,0.389333579371819
0,0.215214285714286,0.394468725327723,0.388694996902002
0,0.429428571428571,0.392748863740998,0.386809249288916
0,0.643642857142857,0.389937266388519,0.383722561055098
0,0.857857142857143,0.386106684631135,0.379514074310129
0,1.07207142857143,0.381351803524664,0.374282803707142
0,1.28628571428571,0.375783064083104,0.368146135481812
0,1.5005,0.369520314805891,0.361230679047468
0,1.71471428571429,0.362686762035773,0.353668084399216
0,1.92892857142857,0.355403617363249,0.34558545483039
0,2.14314285714286,0.347785858752522,0.33710593474243
0,2.35735714285714,0.339939193649148,0.328342634169231
0,2.57157142857143,0.331958172716747,0.319395787242515
0,2.78578571428571,0.323925199101472,0.310353441945578
0,3,0.315910580550493,0.301291061312029

