"Freq [GHz]","TEM mode []"
0.4105,-58.981535144818
0.41275,-58.9334557888685
0.415,-58.8856328988702
0.41725,-58.83806367246
0.4195,-58.7907453526515
0.42175,-58.743675226861
0.424,-58.6968506259603
0.42625,-58.6502689233537
0.4285,-58.6039275340799
0.43075,-58.5578239139372
0.433,-58.5119555586314
0.43525,-58.466320002946
0.4375,-58.4209148199337
0.43975,-58.3757376201287
0.442,-58.3307860507789
0.44425,-58.286057795098
0.4465,-58.2415505715362
0.44875,-58.1972621330691
0.451,-58.153190266505
0.45325,-58.1093327918089
0.4555,-58.0656875614433
0.45775,-58.0222524597254
0.46,-57.9790254022003
0.46225,-57.9360043350288
0.4645,-57.8931872343909
0.46675,-57.8505721059032
0.469,-57.8081569840503
0.47125,-57.7659399316304
0.4735,-57.7239190392131
0.47575,-57.6820924246113
0.478,-57.6404582323644
0.48025,-57.5990146332345
0.4825,-57.557759823714
0.48475,-57.5166920255445
0.487,-57.4758094852475
0.48925,-57.435110473665
0.4915,-57.3945932855118
0.49375,-57.3542562389366
0.496,-57.3140976750945
0.49825,-57.2741159577284
0.5005,-57.23430947276
0.50275,-57.1946766278897
0.505,-57.1552158522064
0.50725,-57.1159255958044
0.5095,-57.0768043294107
0.51175,-57.0378505440188
0.514,-56.9990627505316
0.51625,-56.9604394794117
0.5185,-56.9219792803392
0.52075,-56.8836807218777
0.523,-56.8455423911461
0.52525,-56.8075628934991
0.5275,-56.7697408522131
0.52975,-56.7320749081797
0.532,-56.6945637196053
0.53425,-56.6572059617173
0.5365,-56.6200003264763
0.53875,-56.5829455222943
0.541,-56.546040273759
0.54325,-56.5092833213634
0.5455,-56.4726734212417
0.54775,-56.4362093449101
0.55,-56.3998898790128
0.55225,-56.3637138250738
0.5545,-56.3276799992531
0.55675,-56.2917872321085
0.559,-56.2560343683616
0.56125,-56.2204202666688
0.5635,-56.1849437993971
0.56575,-56.1496038524037
0.568,-56.1143993248209
0.57025,-56.0793291288445
0.5725,-56.0443921895267
0.57475,-56.0095874445732
0.577,-55.9749138441438
0.57925,-55.9403703506574
0.5815,-55.9059559386008
0.58375,-55.8716695943403
0.586,-55.8375103159383
0.58825,-55.8034771129727
0.5905,-55.7695690063591
0.59275,-55.7357850281779
0.595,-55.7021242215036
0.59725,-55.6685856402372
0.5995,-55.6351683489429
0.60175,-55.6018714226865
0.604,-55.5686939468777
0.60625,-55.535635017115
0.6085,-55.502693739034
0.61075,-55.4698692281573
0.613,-55.4371606097486
0.61525,-55.4045670186687
0.6175,-55.372087599234
0.61975,-55.3397215050782
0.622,-55.3074678990158
0.62425,-55.275325952909
0.6265,-55.2432948475358
0.62875,-55.2113737724614
0.631,-55.1795619259119
0.63325,-55.1478585146495
0.6355,-55.1162627538507
0.63775,-55.0847738669862
0.64,-55.0533910857033
0.64225,-55.02211364971
0.6445,-54.9909408066611
0.64675,-54.9598718120471
0.649,-54.9289059290838
0.65125,-54.8980424286047
0.6535,-54.8672805889551
0.65575,-54.8366196958877
0.658,-54.8060590424605
0.66025,-54.775597928936
0.6625,-54.7452356626825
0.66475,-54.7149715580765
0.667,-54.6848049364079
0.66925,-54.6547351257851
0.6715,-54.6247614610434
0.67375,-54.594883283654
0.676,-54.5650999416346
0.67825,-54.5354107894616
0.6805,-54.505815187984
0.68275,-54.4763125043385
0.685,-54.4469021118657
0.68725,-54.4175833900286
0.6895,-54.388355724331
0.69175,-54.3592185062389
0.694,-54.3301711331021
0.69625,-54.3012130080769
0.6985,-54.2723435400514
0.70075,-54.2435621435701
0.703,-54.2148682387616
0.70525,-54.1862612512662
0.7075,-54.157740612165
0.70975,-54.1293057579103
0.712,-54.100956130257
0.71425,-54.0726911761952
0.7165,-54.0445103478837
0.71875,-54.0164131025845
0.721,-53.9883989025985
0.72325,-53.9604672152023
0.7255,-53.9326175125858
0.72775,-53.9048492717907
0.73,-53.8771619746503
0.73225,-53.8495551077298
0.7345,-53.822028162268
0.73675,-53.7945806341194
0.739,-53.7672120236977
0.74125,-53.7399218359196
0.7435,-53.7127095801501
0.74575,-53.6855747701483
0.748,-53.6585169240135
0.75025,-53.6315355641334
0.7525,-53.6046302171319
0.75475,-53.5778004138183
0.757,-53.5510456891369
0.75925,-53.5243655821179
0.7615,-53.4977596358281
0.76375,-53.4712273973237
0.766,-53.4447684176025
0.76825,-53.4183822515573
0.7705,-53.3920684579306
0.77275,-53.3658265992685
0.775,-53.3396562418773
0.77725,-53.3135569557784
0.7795,-53.2875283146662
0.78175,-53.2615698958648
0.784,-53.2356812802861
0.78625,-53.2098620523889
0.7885,-53.1841118001375
0.79075,-53.1584301149621
0.793,-53.1328165917189
0.79525,-53.1072708286511
0.7975,-53.0817924273504
0.79975,-53.0563809927193
0.802,-53.0310361329338
0.80425,-53.0057574594061
0.8065,-52.9805445867487
0.80875,-52.9553971327386
0.811,-52.9303147182817
0.81325,-52.9052969673786
0.8155,-52.8803435070895
0.81775,-52.8554539675013
0.82,-52.8306279816933
0.82225,-52.8058651857054
0.8245,-52.7811652185045
0.82675,-52.7565277219537
0.829,-52.73195234078
0.83125,-52.7074387225434
0.8335,-52.6829865176064
0.83575,-52.6585953791038
0.838,-52.6342649629127
0.84025,-52.609994927623
0.8425,-52.5857849345088
0.84475,-52.5616346474997
0.847,-52.5375437331522
0.84925,-52.5135118606222
0.8515,-52.4895387016377
0.85375,-52.4656239304713
0.856,-52.4417672239138
0.85825,-52.4179682612479
0.8605,-52.3942267242218
0.86275,-52.370542297024
0.865,-52.3469146662578
0.86725,-52.3233435209163
0.8695,-52.299828552358
0.87175,-52.2763694542822
0.874,-52.2529659227049
0.87625,-52.2296176559359
0.8785,-52.2063243545545
0.88075,-52.1830857213871
0.883,-52.1599014614842
0.88525,-52.1367712820981
0.8875,-52.1136948926605
0.88975,-52.090672004761
0.892,-52.0677023321252
0.89425,-52.0447855905938
0.8965,-52.0219214981011
0.89875,-51.9991097746547
0.901,-51.9763501423147
0.90325,-51.9536423251738
0.9055,-51.9309860493372
0.90775,-51.9083810429029
0.91,-51.8858270359421
0.91225,-51.8633237604807
0.9145,-51.8408709504793
0.91675,-51.8184683418155
0.919,-51.7961156722648
0.92125,-51.7738126814828
0.9235,-51.7515591109869
0.92575,-51.7293547041386
0.928,-51.7071992061261
0.93025,-51.685092363947
0.9325,-51.6630339263909
0.93475,-51.641023644023
0.937,-51.619061269167
0.93925,-51.5971465558888
0.9415,-51.5752792599803
0.94375,-51.5534591389434
0.946,-51.531685951974
0.94825,-51.5099594599463
0.9505,-51.4882794253976
0.95275,-51.4666456125129
0.955,-51.4450577871098
0.95725,-51.4235157166236
0.9595,-51.4020191700927
0.96175,-51.3805679181439
0.964,-51.3591617329783
0.96625,-51.3378003883569
0.9685,-51.3164836595867
0.97075,-51.2952113235071
0.973,-51.2739831584757
0.97525,-51.2527989443555
0.9775,-51.2316584625009
0.97975,-51.2105614957452
0.982,-51.189507828387
0.98425,-51.1684972461777
0.9865,-51.1475295363089
0.98875,-51.1266044873997
0.991,-51.1057218894841
0.99325,-51.0848815339992
0.9955,-51.064083213773
0.99775,-51.0433267230123
1,-51.0226118572909
