"Freq [GHz]","Antenna to Waveport 2 [rad]","Antenna to Waveport 1 [rad]"
0.496,0.764426014627622,1.10471405865079
0.49825,0.760757742026085,1.10256377807122
0.5005,0.757089747918536,1.10041348653583
0.50275,0.753422032296129,1.09826318291665
0.505,0.74975459516695,1.09611286610451
0.50725,0.74608743655571,1.09396253500865
0.5095,0.742420556503449,1.09181218855643
0.51175,0.73875395506724,1.08966182569299
0.514,0.735087632319901,1.08751144538091
0.51625,0.73142158834971,1.08536104659993
0.5185,0.727755823260124,1.08321062834659
0.52075,0.724090337169504,1.08106018963397
0.523,0.720425130210843,1.07890972949132
0.52525,0.716760202531502,1.07675924696382
0.5275,0.713095554292941,1.07460874111224
0.52975,0.709431185670465,1.07245821101268
0.532,0.705767096852967,1.07030765575623
0.53425,0.702103288042678,1.06815707444874
0.5365,0.698439759454918,1.06600646621049
0.53875,0.694776511317853,1.06385583017593
0.541,0.691113543872255,1.06170516549342
0.54325,0.687450857371267,1.05955447132492
0.5455,0.683788452080167,1.05740374684575
0.54775,0.680126328276141,1.0552529912443
0.55,0.676464486248054,1.0531022037218
0.55225,0.672802926296229,1.05095138349202
0.5545,0.669141648732227,1.04880052978106
0.55675,0.66548065387863,1.04664964182704
0.559,0.661819942068823,1.04449871887989
0.56125,0.658159513646789,1.0423477602011
0.5635,0.654499368966899,1.04019676506347
0.56575,0.650839508393704,1.03804573275085
0.568,0.647179932301735,1.03589466255792
0.57025,0.643520641075305,1.03374355378996
0.5725,0.639861635108305,1.03159240576259
0.57475,0.636202914804018,1.02944121780158
0.577,0.632544480574919,1.02728998924257
0.57925,0.62888633284249,1.02513871943089
0.5815,0.625228472037031,1.0229874077213
0.58375,0.621570898597477,1.02083605347782
0.586,0.617913612971211,1.01868465607345
0.58825,0.614256615613887,1.01653321488998
0.5905,0.610599906989249,1.01438172931781
0.59275,0.606943487568958,1.01223019875569
0.595,0.603287357832416,1.01007862261053
0.59725,0.599631518266593,1.00792700029718
0.5995,0.595975969365857,1.00577533123828
0.60175,0.592320711631807,1.00362361486396
0.604,0.588665745573105,1.00147185061175
0.60625,0.585011071705315,0.9993200379263
0.6085,0.581356690550734,0.997168176259208
0.61075,0.577702602638235,0.995016265068841
0.613,0.57404880850311,0.99286430382013
0.61525,0.570395308686906,0.990712291984378
0.6175,0.566742103737274,0.988560229039079
0.61975,0.563089194207813,0.986408114467727
0.622,0.559436580657915,0.98425594775963
0.62425,0.555784263652619,0.982103728409733
0.6265,0.552132243762455,0.979951455918431
0.62875,0.548480521563298,0.977799129791395
0.631,0.544829097636224,0.975646749539391
0.63325,0.541177972567358,0.973494314678107
0.6355,0.537527146947735,0.971341824727974
0.63775,0.533876621373154,0.969189279214002
0.64,0.530226396444038,0.967036677665601
0.64225,0.526576472765292,0.964884019616416
0.6445,0.522926850946165,0.962731304604159
0.64675,0.519277531600109,0.960578532170444
0.649,0.515628515344648,0.958425701860618
0.65125,0.511979802801234,0.956272813223605
0.6535,0.50833139459512,0.954119865811738
0.65575,0.50468329135522,0.951966859180602
0.658,0.50103549371398,0.949813792888876
0.66025,0.497388002307246,0.947660666498176
0.6625,0.493740817774133,0.945507479572895
0.66475,0.490093940756893,0.943354231680054
0.667,0.486447371900791,0.941200922389147
0.66925,0.482801111853973,0.939047551271987
0.6715,0.47915516126734,0.936894117902561
0.67375,0.475509520794424,0.934740621856875
0.676,0.471864191091261,0.932587062712809
0.67825,0.468219172816266,0.930433440049971
0.6805,0.46457446663011,0.928279753449551
0.68275,0.460930073195601,0.926126002494178
0.685,0.457285993177553,0.923972186767774
0.68725,0.453642227242676,0.921818305855417
0.6895,0.449998776059445,0.919664359343198
0.69175,0.446355640297988,0.917510346818079
0.694,0.442712820629964,0.915356267867763
0.69625,0.439070317728441,0.913202122080548
0.6985,0.435428132267786,0.911047909045197
0.70075,0.431786264923541,0.908893628350802
0.703,0.428144716372309,0.906739279586648
0.70525,0.424503487291639,0.904584862342085
0.7075,0.420862578359908,0.902430376206392
0.70975,0.41722199025621,0.900275820768651
0.712,0.41358172366024,0.898121195617614
0.71425,0.409941779252176,0.895966500341576
0.7165,0.406302157712576,0.893811734528249
0.71875,0.402662859722256,0.891656897764635
0.721,0.399023885962181,0.889501989636901
0.72325,0.395385237113355,0.887347009730251
0.7255,0.39174691385671,0.885191957628812
0.72775,0.38810891687299,0.883036832915502
0.73,0.384471246842649,0.880881635171914
0.73225,0.380833904445736,0.878726363978195
0.7345,0.377196890361785,0.876571018912925
0.73675,0.37356020526971,0.874415599553001
0.739,0.369923849847694,0.872260105473518
0.74125,0.366287824773081,0.870104536247653
0.7435,0.362652130722268,0.867948891446548
0.74575,0.3590167683706,0.865793170639196
0.748,0.35538173839226,0.863637373392331
0.75025,0.351747041460165,0.861481499270306
0.7525,0.348112678245855,0.859325547834992
0.75475,0.344478649419396,0.857169518645657
0.757,0.340844955649265,0.855013411258861
0.75925,0.33721159760225,0.852857225228347
0.7615,0.333578575943343,0.850700960104928
0.76375,0.329945891335637,0.848544615436384
0.766,0.32631354444022,0.846388190767351
0.76825,0.322681535916072,0.84423168563922
0.7705,0.31904986641996,0.842075099590024
0.77275,0.315418536606336,0.83991843215434
0.775,0.311787547127232,0.837761682863184
0.77725,0.308156898632159,0.835604851243906
0.7795,0.304526591768003,0.83344793682009
0.78175,0.30089662717892,0.83129093911145
0.784,0.297267005506241,0.829133857633733
0.78625,0.293637727388361,0.826976691898618
0.7885,0.290008793460644,0.824819441413614
0.79075,0.286380204355316,0.822662105681967
0.793,0.282751960701368,0.820504684202557
0.79525,0.279124063124455,0.818347176469807
0.7975,0.275496512246788,0.816189581973582
0.79975,0.271869308687043,0.814031900199097
0.802,0.268242453060253,0.811874130626821
0.80425,0.264615945977711,0.809716272732385
0.8065,0.260989788046867,0.807558325986484
0.80875,0.257363979871232,0.805400289854794
0.811,0.253738522050275,0.803242163797869
0.81325,0.250113415179325,0.801083947271062
0.8155,0.246488659849467,0.798925639724423
0.81775,0.242864256647448,0.796767240602621
0.82,0.239240206155577,0.794608749344845
0.82225,0.235616508951623,0.792450165384725
0.8245,0.231993165608716,0.790291488150238
0.82675,0.228370176695252,0.788132717063624
0.829,0.22474754277479,0.7859738515413
0.83125,0.221125264405957,0.783814890993777
0.8335,0.217503342142345,0.78165583482557
0.83575,0.213881776532418,0.77949668243512
