"Freq [GHz]","dB(S(waveport1,antenna)) []"
1.6279575,-62.2350846718387
1.635455,-62.1608553721894
1.6429525,-62.0870112064101
1.65045,-62.0135487483012
1.6579475,-61.940464616202
1.665445,-61.8677554721793
1.6729425,-61.7954180212348
1.68044,-61.7234490105297
1.6879375,-61.6518452286275
1.695435,-61.5806035047531
1.7029325,-61.5097207080689
1.71043,-61.4391937469665
1.7179275,-61.3690195683743
1.725425,-61.2991951570803
1.7329225,-61.2297175350695
1.74042,-61.1605837608763
1.7479175,-61.0917909289501
1.755415,-61.0233361690354
1.7629125,-60.9552166455647
1.77041,-60.887429557065
1.7779075,-60.8199721355761
1.785405,-60.7528416460821
1.7929025,-60.6860353859542
1.8004,-60.6195506844061
1.8078975,-60.5533849019601
1.815395,-60.4875354299244
1.8228925,-60.4219996898817
1.83039,-60.3567751331883
1.8378875,-60.291859240483
1.845385,-60.2272495212068
1.8528825,-60.1629435131319
1.86038,-60.0989387819008
1.8678775,-60.0352329205739
1.875375,-59.9718235491876
1.8828725,-59.9087083143198
1.89037,-59.8458848886652
1.8978675,-59.7833509706182
1.905365,-59.7211042838652
1.9128625,-59.6591425769839
1.92036,-59.5974636230509
1.9278575,-59.536065219257
1.935355,-59.4749451865304
1.9428525,-59.4141013691663
1.95035,-59.3535316344647
1.9578475,-59.2932338723743
1.965345,-59.2332059951439
1.9728425,-59.1734459369804
1.98034,-59.1139516537125
1.9878375,-59.054721122462
1.995335,-58.9957523413205
2.0028325,-58.9370433290324
2.01033,-58.8785921246836
2.0178275,-58.8203967873967
2.025325,-58.7624553960308
2.0328225,-58.7047660488878
2.04032,-58.6473268634237
2.0478175,-58.5901359759651
2.055315,-58.5331915414308
2.0628125,-58.476491733059
2.07031,-58.4200347421389
2.0778075,-58.3638187777471
2.085305,-58.3078420664891
2.0928025,-58.2521028522454
2.1003,-58.1965993959213
2.1077975,-58.1413299752026
2.115295,-58.0862928843138
2.1227925,-58.0314864337825
2.13029,-57.9769089502058
2.1377875,-57.9225587760228
2.145285,-57.8684342692895
2.1527825,-57.8145338034583
2.16028,-57.7608557671611
2.1677775,-57.7073985639962
2.175275,-57.6541606123186
2.1827725,-57.6011403450341
2.19027,-57.5483362093965
2.1977675,-57.4957466668088
2.205265,-57.4433701926271
2.2127625,-57.3912052759678
2.22026,-57.3392504195187
2.2277575,-57.2875041393522
2.235255,-57.2359649647422
2.2427525,-57.1846314379838
2.25025,-57.133502114216
2.2577475,-57.0825755612473
2.265245,-57.0318503593835
2.2727425,-56.9813251012592
2.28024,-56.9309983916717
2.2877375,-56.8808688474167
2.295235,-56.8309350971278
