"Freq [GHz]","dB(S(waveport1:1,1)) []"
5.1507425,-45.7373854461687
5.20074,-45.6596857784407
5.2507375,-45.5828450893565
5.300735,-45.5068482130479
5.3507325,-45.4316804152367
5.40073,-45.357327377091
5.4507275,-45.2837751798062
5.500725,-45.2110102898711
5.5507225,-45.1390195449826
5.60072,-45.0677901405713
5.6507175,-44.9973096169079
5.700715,-44.9275658467577
5.7507125,-44.8585470235544
5.80071,-44.7902416500669
5.8507075,-44.7226385275323
5.900705,-44.6557267452325
5.9507025,-44.5894956704904
6.0007,-44.5239349390659
6.0506975,-44.4590344459304
6.100695,-44.3947843364023
6.1506925,-44.3311749976251
6.20069,-44.2681970503716
6.2506875,-44.2058413411584
6.300685,-44.1440989346567
6.3506825,-44.0829611063843
6.40068,-44.0224193356669
6.4506775,-43.962465298855
6.500675,-43.9030908627863
6.5506725,-43.8442880784816
6.60067,-43.786049175063
6.6506675,-43.7283665538874
6.700665,-43.6712327828824
6.7506625,-43.6146405910796
6.80066,-43.5585828633365
6.8506575,-43.5030526352656
6.900655,-43.4480430878323
6.9506525,-43.3935475441949
7.00065,-43.3395594626325
7.0506475,-43.2860724340215
7.100645,-43.2330801768043
7.1506425,-43.180576532908
7.20064,-43.1285554637163
7.2506375,-43.0770110461692
7.300635,-43.0259374689864
7.3506325,-42.9753290290117
7.40063,-42.9251801276747
7.4506275,-42.8754852675644
7.500625,-42.8262390491116
7.5506225,-42.7774361673771
7.60062,-42.7290714089411
7.6506175,-42.681139648891
7.700615,-42.6336358479049
7.7506125,-42.5865550494269
7.80061,-42.5398923769327
7.8506075,-42.4936430312811
7.900605,-42.4478022881507
7.9506025,-42.4023654955582
8.0006,-42.3573280714558
8.0505975,-42.3126855014067
8.100595,-42.2684333363355
8.1505925,-42.2245671903518
8.20059,-42.1810827386453
8.2505875,-42.1379757154502
8.300585,-42.0952419120778
8.3505825,-42.0528771750142
8.40058,-42.0108774040832
8.4505775,-41.9692385506722
8.500575,-41.927956616018
8.5505725,-41.8870276495544
8.60057,-41.8464477473167
8.6505675,-41.8062130504039
8.700565,-41.7663197434967
8.7505625,-41.7267640534294
8.80056,-41.6875422478157
8.8505575,-41.6486506337256
8.900555,-41.6100855564139
8.9505525,-41.571843398097
9.00055,-41.5339205767795
9.0505475,-41.4963135451263
9.100545,-41.4590187893822
9.1505425,-41.4220328283354
9.20054,-41.3853522123245
9.2505375,-41.3489735222891
9.300535,-41.3128933688604
9.3505325,-41.2771083914927
9.40053,-41.241615257634
9.4505275,-41.2064106619338
9.500525,-41.1714913254876
9.5505225,-41.1368539951167
9.60052,-41.1024954426816
9.6505175,-41.0684124644285
9.700515,-41.0346018803663
9.7505125,-41.0010605336727
9.80051,-40.9677852901301
9.8505075,-40.9347730375853
9.900505,-40.9020206854358
9.9505025,-40.8695251641377
10.0005,-40.8372834247337
10.0504975,-40.8052924384005
10.100495,-40.7735491960105
10.1504925,-40.7420507077076
10.20049,-40.7107940024923
10.2504875,-40.679776127813
10.300485,-40.6489941491605
10.3504825,-40.6184451496601
10.40048,-40.5881262296567
10.4504775,-40.5580345062867
10.500475,-40.5281671130312
10.5504725,-40.4985211992395
10.60047,-40.4690939296162
10.6504675,-40.4398824836585
10.700465,-40.4108840550309
10.7504625,-40.3820958508592
10.80046,-40.3535150909237
10.8504575,-40.3251390067267
10.900455,-40.2969648404001
10.9504525,-40.2689898434156
11.00045,-40.241211275044
11.0504475,-40.2136264005
11.100445,-40.1862324886871
11.1504425,-40.1590268094336
11.20044,-40.1320066300733
11.2504375,-40.1051692111792
11.300435,-40.0785118011893
11.3504325,-40.0520316295703
11.40043,-40.0257258980283
11.4504275,-39.9995917690821
11.500425,-39.9736263510212
11.5504225,-39.9478266778397
11.60042,-39.9221896820704
11.6504175,-39.8967121574031
11.700415,-39.8713907063142
11.7504125,-39.8462216652051
11.80041,-39.821200994953
11.8504075,-39.7963241167721
11.900405,-39.771585658835
11.9504025,-39.7469790519836
12.0004,-39.7224958595803
12.0503975,-39.698124616529
12.100395,-39.6738487123012
12.1503925,-39.6496422979353
12.20039,-39.6254618546452
12.2503875,-39.6012279349638
12.300385,-39.5767886158858
12.3503825,-39.5519514967932
12.40038,-39.5292469132998
12.4503775,-39.5179425385663
12.500375,-39.493892524343
12.5503725,-39.4691303793882
12.60037,-39.4452974975139
12.6503675,-39.4219998682494
12.700365,-39.3990335805776
12.7503625,-39.3762999093818
12.80036,-39.3537447888808
12.8503575,-39.3313349704825
12.900355,-39.3090515255103
12.9503525,-39.2868935007625
13.00035,-39.2648775766532
13.0503475,-39.2430154558721
13.100345,-39.2212944460691
13.1503425,-39.1996912803652
13.20034,-39.1781892759336
13.2503375,-39.156780019244
13.300335,-39.1354594808582
13.3503325,-39.1142252597987
13.40033,-39.0930753913949
13.4503275,-39.0720079429562
13.500325,-39.051020912895
13.5503225,-39.0301122309839
13.60032,-39.0092797876161
13.6503175,-38.9885214694374
13.700315,-38.9678351958645
13.7503125,-38.9472189563693
13.80031,-38.926670849589
13.8503075,-38.9061891248955
13.900305,-38.8857722257195
13.9503025,-38.8654188316165
14.0003,-38.8451278923413
14.0502975,-38.8248986413293
14.100295,-38.8047305669419
14.1502925,-38.7846233063011
14.20029,-38.7645764069653
14.2502875,-38.7445888744477
14.300285,-38.7246583871372
14.3502825,-38.7047800131985
14.40028,-38.68494420467
14.4502775,-38.6651337680929
14.500275,-38.6453194111599
