"Freq [GHz]","ang_rad(S(waveport1:1,1)) [rad]","ang_rad(S(waveport2:1,1)) [rad]"
0.001,1.57039773158158,1.57043602735095
0.0509975,1.55047236602769,1.55242483640865
0.100995,1.53054698161639,1.53441360196491
0.1509925,1.5106216550406,1.51640237929458
0.20099,1.49069649956703,1.49839122181347
0.2509875,1.47077155774098,1.48038014267448
0.300985,1.45084687320427,1.46236915565864
0.3509825,1.43092248679713,1.44435827285385
0.40098,1.41099843498202,1.42634750370638
0.4509775,1.39107474880421,1.40833685439117
0.500975,1.37115145302795,1.39032632728619
0.5509725,1.35122856770742,1.37231592190343
0.60097,1.33130627851828,1.35430573673374
0.6509675,1.31138455663754,1.33629574182128
0.700965,1.29146344818324,1.3182859521603
0.7509625,1.27154299903724,1.30027638254374
0.80096,1.25162325482701,1.28226704755556
0.8509575,1.23170426090136,1.2642579615554
0.900955,1.21178606230587,1.24624913866216
0.9509525,1.19186870376382,1.22824059274278
1.00095,1.17195222966167,1.21023233740541
1.0509475,1.15203668403564,1.19222438599395
1.100945,1.13212211055793,1.1742167515824
1.1509425,1.11220855252253,1.15620944696913
1.20094,1.09229605283113,1.13820248467162
1.2509375,1.07238465397936,1.12019587692196
1.300935,1.05247439804347,1.10218963566328
1.3509325,1.03256532666769,1.08418377254722
1.40093,1.01265748105211,1.06617829893249
1.4509275,0.992750901941172,1.04817322588457
1.500925,0.972845629612822,1.03016856417643
1.5509225,0.952941703868265,1.01216432429057
1.60092,0.933039164022384,0.994160516422092
1.6509175,0.913138048894823,0.976157150483036
1.700915,0.893238396801723,0.958154236107874
1.7509125,0.873340245548177,0.940151782660243
1.80091,0.853443632421323,0.922149799240879
1.8509075,0.833548594184174,0.904148294696764
1.900905,0.813655167070073,0.886147277631444
1.9509025,0.793763386777914,0.868146756416617
2.0009,0.773873288468936,0.850146739205793
2.0508975,0.753984906770053,0.832147233954985
2.100895,0.734098275776349,0.814148248443063
2.1508925,0.714213429007263,0.796149790246221
2.20089,0.694330399432219,0.77815186678241
2.2508875,0.674449219495743,0.760154485355638
2.300885,0.654569921097541,0.742157653155688
2.3508825,0.634692535591752,0.724161377277415
2.40088,0.614817093790748,0.706165664744945
2.4508775,0.594943625969022,0.68817052253637
2.500875,0.575072161867537,0.670175957609214
2.5508725,0.555202730698768,0.652181976926914
2.60087,0.535335361152528,0.6341885874864
2.6508675,0.515470081402627,0.616195796346745
2.700865,0.495606919114353,0.598203610658911
2.7508625,0.4757459014528,0.580212037696525
2.80086,0.455887055092022,0.562221084887686
2.8508575,0.43603040622502,0.544230759847763
2.900855,0.41617598057458,0.526241070413143
2.9508525,0.396323803404915,0.5082520246759
3.00085,0.376473899534137,0.490263631019352
3.0508475,0.356626293347556,0.472275898154452
3.100845,0.33678100881177,0.454288835156987
3.1508425,0.316938069489563,0.436302451505528
3.20084,0.297097498555592,0.418316757120103
3.2508375,0.277259318812848,0.400331762401523
3.300835,0.257423552709893,0.382347478271338
3.3508325,0.237590222358839,0.364363916212361
3.40083,0.217759349554079,0.346381088309698
3.4508275,0.197930955791724,0.328399007292262
3.500825,0.178105062289773,0.310417686574681
3.5508225,0.158281690008946,0.292437140299576
3.60082,0.138460859674205,0.274457383380129
3.6508175,0.118642591796925,0.256478431542903
3.700815,0.0988269066976873,0.238500301370838
3.7508125,0.0790138245296901,0.220523010346378
3.80081,0.0592033653027391,0.202546576894652
3.8508075,0.0393955489077996,0.184571020426672
3.900805,0.0195903951420845,0.166596361382454
3.9508025,-0.000212076265344295,0.148622621274032
4.0008,-0.0200118456275021,0.130649822728268
4.0507975,-0.0398088932729441,0.112677989529425
4.100795,-0.0596031995188083,0.0947071466614124
4.1507925,-0.0793947446434705,0.0767373203496521
4.20079,-0.0991835088588274,0.0587685381024986
4.2507875,-0.118969472282258,0.0408008287521404
4.300785,-0.138752614908281,0.0228342224949222
4.3507825,-0.158532916579959,0.00486875093101551
4.40078,-0.17831035696007,-0.0130955528966204
4.4507775,-0.198084915502086,-0.0310586544640662
4.500775,-0.217856571421003,-0.0490205177291141
4.5507725,-0.237625303664045,-0.0669811050948561
4.60077,-0.257391090881297,-0.0849403773742567
4.6507675,-0.277153911396292,-0.10289829375577
4.700765,-0.296913743176598,-0.120854811770074
4.7507625,-0.316670563804441,-0.138809887257981
4.80076,-0.336424350447418,-0.156763474339595
4.8507575,-0.356175079829311,-0.17471552538477
4.900755,-0.375922728201078,-0.192665990984952
4.9507525,-0.395667271312043,-0.210614819926442
5.00075,-0.415408684381328,-0.228561959165158
5.0507475,-0.435146942069578,-0.246507353802956
5.100745,-0.454882018451006,-0.264450947065566
5.1507425,-0.474613886985825,-0.282392680282196
5.20074,-0.494342520493092,-0.30033249286687
5.2507375,-0.514067891123997,-0.318270322301561
5.300735,-0.533789970335678,-0.336206104121145
5.3507325,-0.553508728865561,-0.354139771900272
5.40073,-0.5732241367063,-0.37207125724217
5.4507275,-0.59293616308134,-0.390000489769437
5.500725,-0.61264477642116,-0.407927397116902
5.5507225,-0.632349944340226,-0.425851904926541
5.60072,-0.6520516336147,-0.443773936844557
5.6507175,-0.671749810160955,-0.461693414520621
5.700715,-0.691444439014923,-0.479610257609329
5.7507125,-0.711135484312318,-0.49752438377392
5.80071,-0.730822909269793,-0.515435708692287
5.8507075,-0.750506676167037,-0.533344146065299
5.900705,-0.770186746329881,-0.551249607627501
5.9507025,-0.789863080114434,-0.569152003160178
