Phase [deg],Freq [GHz],elec_energy []
0,0.001,1.97932029087653E-11
0,0.104413793103448,1.97948531570696E-11
0,0.207827586206897,1.97997439528201E-11
0,0.311241379310345,1.98078845750933E-11
0,0.414655172413793,1.98192900280975E-11
0,0.518068965517241,1.98339816765164E-11
0,0.62148275862069,1.98519874587481E-11
0,0.724896551724138,1.98733421773588E-11
0,0.828310344827586,1.98980879740621E-11
0,0.931724137931034,1.9926274999019E-11
0,1.03513793103448,1.99579620666718E-11
0,1.13855172413793,1.99932176882378E-11
0,1.24196551724138,2.00321212325603E-11
0,1.34537931034483,2.00747644609411E-11
0,1.44879310344828,2.01212533329695E-11
0,1.55220689655172,2.01717105657274E-11
0,1.65562068965517,2.02262786751763E-11
0,1.75903448275862,2.02851240848288E-11
0,1.86244827586207,2.03484424645387E-11
0,1.96586206896552,2.0416465863218E-11
0,2.06927586206897,2.04894723756894E-11
0,2.17268965517241,2.05677995226387E-11
0,2.27610344827586,2.06518629131464E-11
0,2.37951724137931,2.07421831751089E-11
0,2.48293103448276,2.08394251191338E-11
0,2.58634482758621,2.09444570692806E-11
0,2.68975862068966,2.10584420493787E-11
0,2.7931724137931,2.11829840039211E-11
0,2.89658620689655,2.13203700778021E-11
0,3,2.14739916134993E-11
