"Freq [GHz]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)) []","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna)))))_1 [deg]"
0.001,1598779.01238625,-89.9999683104432
0.0213877551020408,74808.1586604018,-89.9993218113251
0.0417755102040816,38299.2546939694,-89.9986753115329
0.0621632653061224,25737.9859960294,-89.9980287725785
0.0825510204081633,19381.2047961684,-89.9973821753583
0.102938775510204,15542.3820759075,-89.9967355008056
0.123326530612245,12972.7474067023,-89.9960887300641
0.143714285714286,11132.1481369846,-89.9954418441255
0.164102040816327,9748.86185852344,-89.9947948243432
0.184489795918367,8671.27707999556,-89.9941476521744
0.204877551020408,7808.13118319647,-89.9935003090278
0.225265306122449,7101.20034396998,-89.9928527766383
0.24565306122449,6511.58974335677,-89.9922050369825
0.266040816326531,6012.32725275778,-89.9915570721351
0.286428571428571,5584.12017970011,-89.9909088643489
0.306816326530612,5212.80372149104,-89.99026039619
0.327204081632653,4887.74348069346,-89.9896116505631
0.347591836734694,4600.80009396624,-89.9889626104088
0.367979591836735,4345.63798524551,-89.9883132591414
0.388367346938776,4117.25199153792,-89.9876635803274
0.408755102040816,3911.63551488755,-89.9870135578829
0.429142857142857,3725.54332964468,-89.9863631761045
0.449530612244898,3556.31895035507,-89.985712419523
0.469918367346939,3401.76690648839,-89.9850612730338
0.49030612244898,3260.05688503649,-89.9844097218839
0.51069387755102,3129.65086374836,-89.9837577516131
0.531081632653061,3009.24697433747,-89.9831053482169
0.551469387755102,2897.73587919761,-89.9824524979628
0.571857142857143,2794.16644484167,-89.9817991875039
0.592244897959184,2697.71848554206,-89.981145403962
0.612632653061224,2607.68102030767,-89.9804911346713
0.633020408163265,2523.4346493585,-89.9798363674409
0.653408163265306,2444.43727920354,-89.9791810904556
0.673795918367347,2370.21243028348,-89.9785252922355
0.694183673469388,2300.33959506477,-89.9778689617416
0.714571428571429,2234.44625941906,-89.9772120882417
0.734959183673469,2172.20124326633,-89.9765546613781
0.75534693877551,2113.30911790609,-89.9758966712192
0.775734693877551,2057.50551675948,-89.9752381081269
0.796122448979592,2004.55315133468,-89.9745789628543
0.816510204081633,1954.23843349356,-89.973919226482
0.836897959183673,1906.36858485834,-89.9732588904417
0.857285714285714,1860.76916981831,-89.9725979464689
0.877673469387755,1817.28195847436,-89.971936386618
0.898061224489796,1775.76308819909,-89.9712742032852
0.918448979591837,1736.08147065508,-89.9706113891005
0.938836734693878,1698.11740499672,-89.9699479370002
0.959224489795918,1661.7613656892,-89.9692838401843
0.979612244897959,1626.9129461258,-89.9686190920644
1,1593.47992490168,-89.9679536863243
1.22222222222222,1301.10533138771,-89.9606566517275
1.44444444444444,1098.22411705564,-89.9532736636614
1.66666666666667,949.027674668523,-89.9457964133342
1.88888888888889,834.554961596592,-89.938211566031
2.11111111111111,743.82401445937,-89.93049703486
2.33333333333333,670.030243933956,-89.9226192505098
2.55555555555556,608.726499213211,-89.9145315164423
2.77777777777778,556.873153229743,-89.9061724050199
3,512.302194313629,-89.8974608021172

