Frequency,Output_Power
0.104413793103448,3.76820445846383e-07
0.207827586206897,1.4935579891774068e-06
0.311241379310345,3.3522428820039927e-06
0.414655172413793,5.956138714271921e-06
0.518068965517241,9.309701423387202e-06
0.62148275862069,1.3418483815620128e-05
0.724896551724138,1.82890294028192e-05
0.828310344827586,2.392876679116635e-05
0.931724137931034,3.034591670600231e-05
1.03513793103448,3.754942433479443e-05
1.13855172413793,4.554892860219749e-05
1.24196551724138,5.435477895721945e-05
1.34537931034483,6.39781074940183e-05
1.44879310344828,7.443096169073908e-05
1.55220689655172,8.572649945256519e-05
1.65562068965517,9.787924479984414e-05
1.75903448275862,0.00011090539982204033
1.8624482758620697,0.00012482320618110288
1.96586206896552,0.00013965334887242102
2.06927586206897,0.0001554193960654981
2.17268965517241,0.0001721482727197565
2.27610344827586,0.00018987077256661978
2.37951724137931,0.00020862212521738978
2.48293103448276,0.00022844265397804468
2.58634482758621,0.0002493785903322532
2.68975862068966,0.0002714831603238988
2.7931724137931,0.00029481814249735156
2.89658620689655,0.000319456247266075
3.0,0.00034548495085907644

